Time (seconds),Time (steps),Acceleration (m/s²), X-comp,Y-comp
0,0,3.365,-1.587,-2.967
0.0072,1,3.365,-1.534,-2.994
0.0144,2,3.365,-1.482,-3.021
0.0216,3,3.365,-1.429,-3.046
0.0288,4,3.365,-1.376,-3.071
0.036,5,3.365,-1.322,-3.094
0.043199999999999995,6,3.365,-1.267,-3.117
0.05039999999999999,7,3.365,-1.213,-3.139
0.05759999999999999,8,3.365,-1.158,-3.16
0.0648,9,3.365,-1.102,-3.18
0.072,10,3.365,-1.047,-3.198
0.07919999999999999,11,3.365,-0.991,-3.216
0.08639999999999999,12,3.365,-0.934,-3.232
0.09359999999999999,13,3.365,-0.878,-3.248
0.10079999999999999,14,3.365,-0.821,-3.263
0.10799999999999998,15,3.365,-0.764,-3.277
0.11519999999999998,16,3.365,-0.706,-3.29
0.12239999999999998,17,3.365,-0.649,-3.302
0.1296,18,3.365,-0.591,-3.312
0.1368,19,3.365,-0.534,-3.322
0.14400000000000002,20,3.365,-0.475,-3.331
0.15120000000000003,21,3.365,-0.417,-3.339
0.15840000000000004,22,3.365,-0.359,-3.346
0.16560000000000005,23,3.365,-0.301,-3.352
0.17280000000000006,24,3.365,-0.242,-3.356
0.18000000000000008,25,3.365,-0.183,-3.36
0.1872000000000001,26,3.365,-0.125,-3.363
0.1944000000000001,27,3.365,-0.066,-3.364
0.2016000000000001,28,3.365,-0.007,-3.365
0.20880000000000012,29,3.365,0.052,-3.365
0.21600000000000014,30,3.365,0.11,-3.363
0.22320000000000015,31,3.365,0.169,-3.361
0.23040000000000016,32,3.365,0.228,-3.357
0.23760000000000017,33,3.365,0.287,-3.353
0.24480000000000018,34,3.365,0.345,-3.347
0.25200000000000017,35,3.365,0.403,-3.341
0.25920000000000015,36,3.365,0.461,-3.333
0.26640000000000014,37,3.365,0.519,-3.325
0.2736000000000001,38,3.365,0.578,-3.315
0.2808000000000001,39,3.365,0.635,-3.304
0.2880000000000001,40,3.365,0.693,-3.293
0.2952000000000001,41,3.365,0.75,-3.28
0.30240000000000006,42,3.365,0.807,-3.267
0.30960000000000004,43,3.365,0.864,-3.252
0.3168,44,3.365,0.921,-3.237
0.324,45,3.365,0.977,-3.22
0.3312,46,3.365,1.033,-3.202
0.3384,47,3.365,1.089,-3.184
0.34559999999999996,48,3.365,1.144,-3.164
0.35279999999999995,49,3.365,1.199,-3.144
0.35999999999999993,50,3.365,1.254,-3.123
0.3671999999999999,51,3.365,1.308,-3.1
0.3743999999999999,52,3.365,1.362,-3.077
0.3815999999999999,53,3.365,1.416,-3.053
0.38879999999999987,54,3.365,1.468,-3.027
0.39599999999999985,55,3.365,1.521,-3.002
0.40319999999999984,56,3.365,1.574,-2.974
0.4103999999999998,57,3.365,1.625,-2.946
0.4175999999999998,58,3.365,1.676,-2.917
0.4247999999999998,59,3.365,1.727,-2.888
0.4319999999999998,60,3.365,1.777,-2.858
0.43919999999999976,61,3.365,1.826,-2.826
0.44639999999999974,62,3.365,1.876,-2.794
0.4535999999999997,63,3.365,1.924,-2.761
0.4607999999999997,64,3.365,1.972,-2.727
0.4679999999999997,65,3.365,2.019,-2.692
0.4751999999999997,66,3.365,2.065,-2.656
0.48239999999999966,67,3.365,2.112,-2.62
0.48959999999999965,68,3.365,2.157,-2.583
0.49679999999999963,69,3.365,2.202,-2.544
0.5039999999999997,70,3.365,2.246,-2.506
0.5111999999999997,71,3.365,2.289,-2.466
0.5183999999999996,72,3.365,2.332,-2.426
0.5255999999999996,73,3.365,2.374,-2.385
0.5327999999999996,74,3.365,2.415,-2.343
0.5399999999999996,75,3.365,2.456,-2.3
0.5471999999999996,76,3.365,2.496,-2.258
0.5543999999999996,77,3.365,2.534,-2.214
0.5615999999999995,78,3.365,2.573,-2.169
0.5687999999999995,79,3.365,2.61,-2.124
0.5759999999999995,80,3.365,2.647,-2.078
0.5831999999999995,81,3.365,2.682,-2.031
0.5903999999999995,82,3.365,2.718,-1.984
0.5975999999999995,83,3.365,2.752,-1.937
0.6047999999999994,84,3.365,2.785,-1.889
0.6119999999999994,85,3.365,2.818,-1.84
0.6191999999999994,86,3.365,2.849,-1.79
0.6263999999999994,87,3.365,2.88,-1.741
0.6335999999999994,88,3.365,2.91,-1.69
0.6407999999999994,89,3.365,2.939,-1.639
0.6479999999999994,90,3.365,2.967,-1.587
0.6551999999999993,91,3.365,2.994,-1.535
0.6623999999999993,92,3.365,3.02,-1.483
0.6695999999999993,93,3.365,3.046,-1.43
0.6767999999999993,94,3.365,3.071,-1.376
0.6839999999999993,95,3.365,3.094,-1.322
0.6911999999999993,96,3.365,3.117,-1.268
0.6983999999999992,97,3.365,3.138,-1.213
0.7055999999999992,98,3.365,3.159,-1.159
0.7127999999999992,99,3.365,3.179,-1.104
0.7199999999999992,100,3.365,3.198,-1.048
0.7271999999999992,101,3.365,3.215,-0.992
0.7343999999999992,102,3.365,3.232,-0.935
0.7415999999999991,103,3.365,3.248,-0.879
0.7487999999999991,104,3.365,3.263,-0.822
0.7559999999999991,105,3.365,3.277,-0.765
0.7631999999999991,106,3.365,3.289,-0.707
0.7703999999999991,107,3.365,3.302,-0.65
0.7775999999999991,108,3.365,3.312,-0.592
0.784799999999999,109,3.365,3.322,-0.534
0.791999999999999,110,3.365,3.331,-0.476
0.799199999999999,111,3.365,3.339,-0.418
0.806399999999999,112,3.365,3.346,-0.36
0.813599999999999,113,3.365,3.351,-0.301
0.820799999999999,114,3.365,3.356,-0.243
0.827999999999999,115,3.365,3.36,-0.184
0.8351999999999989,116,3.365,3.363,-0.125
0.8423999999999989,117,3.365,3.364,-0.066
0.8495999999999989,118,3.365,3.365,-0.008
0.8567999999999989,119,3.365,3.365,0.051
0.8639999999999989,120,3.365,3.363,0.11
0.8711999999999989,121,3.365,3.361,0.169
0.8783999999999988,122,3.365,3.357,0.227
0.8855999999999988,123,3.365,3.353,0.286
0.8927999999999988,124,3.365,3.347,0.344
0.8999999999999988,125,3.365,3.341,0.403
0.9071999999999988,126,3.365,3.334,0.461
0.9143999999999988,127,3.365,3.325,0.519
0.9215999999999988,128,3.365,3.315,0.577
0.9287999999999987,129,3.365,3.305,0.635
0.9359999999999987,130,3.365,3.293,0.692
0.9431999999999987,131,3.365,3.281,0.75
0.9503999999999987,132,3.365,3.267,0.807
0.9575999999999987,133,3.365,3.252,0.864
0.9647999999999987,134,3.365,3.237,0.92
0.9719999999999986,135,3.365,3.22,0.977
0.9791999999999986,136,3.365,3.202,1.032
0.9863999999999986,137,3.365,3.184,1.088
0.9935999999999986,138,3.365,3.165,1.143
1.0007999999999986,139,3.365,3.144,1.199
1.0079999999999987,140,3.365,3.123,1.253
1.0151999999999988,141,3.365,3.1,1.308
1.0223999999999989,142,3.365,3.077,1.362
1.029599999999999,143,3.365,3.053,1.416
1.036799999999999,144,3.365,3.027,1.468
1.0439999999999992,145,3.365,3.002,1.521
1.0511999999999992,146,3.365,2.974,1.574
1.0583999999999993,147,3.365,2.946,1.625
1.0655999999999994,148,3.365,2.917,1.676
1.0727999999999995,149,3.365,2.888,1.727
1.0799999999999996,150,3.365,2.858,1.777
1.0871999999999997,151,3.365,2.826,1.826
1.0943999999999998,152,3.365,2.794,1.876
1.1016,153,3.365,2.761,1.924
1.1088,154,3.365,2.727,1.972
1.116,155,3.365,2.692,2.019
1.1232000000000002,156,3.365,2.656,2.065
1.1304000000000003,157,3.365,2.62,2.112
1.1376000000000004,158,3.365,2.583,2.157
1.1448000000000005,159,3.365,2.544,2.202
1.1520000000000006,160,3.365,2.506,2.246
1.1592000000000007,161,3.365,2.466,2.289
1.1664000000000008,162,3.365,2.426,2.332
1.1736000000000009,163,3.365,2.385,2.374
1.180800000000001,164,3.365,2.343,2.415
1.188000000000001,165,3.365,2.3,2.456
1.1952000000000012,166,3.365,2.258,2.496
1.2024000000000012,167,3.365,2.214,2.534
1.2096000000000013,168,3.365,2.169,2.573
1.2168000000000014,169,3.365,2.124,2.61
1.2240000000000015,170,3.365,2.078,2.647
1.2312000000000016,171,3.365,2.031,2.682
1.2384000000000017,172,3.365,1.984,2.718
1.2456000000000018,173,3.365,1.937,2.752
