Time (seconds),Time (steps),Acceleration (m/s²), X-comp,Y-comp
0,0,2.021,-1.204,-1.623
0.0072,1,2.025,-1.167,-1.656
0.0144,2,2.03,-1.128,-1.688
0.0216,3,2.035,-1.089,-1.719
0.0288,4,2.041,-1.049,-1.75
0.036,5,2.046,-1.008,-1.78
0.043199999999999995,6,2.052,-0.967,-1.809
0.05039999999999999,7,2.057,-0.925,-1.838
0.05759999999999999,8,2.063,-0.882,-1.865
0.0648,9,2.069,-0.839,-1.891
0.072,10,2.074,-0.795,-1.916
0.07919999999999999,11,2.081,-0.751,-1.941
0.08639999999999999,12,2.087,-0.706,-1.964
0.09359999999999999,13,2.093,-0.661,-1.986
0.10079999999999999,14,2.099,-0.614,-2.007
0.10799999999999998,15,2.105,-0.568,-2.027
0.11519999999999998,16,2.112,-0.521,-2.047
0.12239999999999998,17,2.118,-0.473,-2.064
0.1296,18,2.124,-0.425,-2.081
0.1368,19,2.13,-0.377,-2.096
0.14400000000000002,20,2.136,-0.329,-2.111
0.15120000000000003,21,2.142,-0.279,-2.124
0.15840000000000004,22,2.148,-0.23,-2.136
0.16560000000000005,23,2.154,-0.181,-2.147
0.17280000000000006,24,2.16,-0.131,-2.156
0.18000000000000008,25,2.166,-0.08,-2.164
0.1872000000000001,26,2.171,-0.03,-2.171
0.1944000000000001,27,2.176,0.021,-2.176
0.2016000000000001,28,2.181,0.072,-2.18
0.20880000000000012,29,2.187,0.123,-2.183
0.21600000000000014,30,2.191,0.174,-2.184
0.22320000000000015,31,2.196,0.226,-2.184
0.23040000000000016,32,2.201,0.277,-2.183
0.23760000000000017,33,2.205,0.329,-2.18
0.24480000000000018,34,2.209,0.38,-2.176
0.25200000000000017,35,2.212,0.432,-2.17
0.25920000000000015,36,2.216,0.483,-2.163
0.26640000000000014,37,2.22,0.535,-2.154
0.2736000000000001,38,2.223,0.586,-2.144
0.2808000000000001,39,2.225,0.638,-2.132
0.2880000000000001,40,2.228,0.689,-2.119
0.2952000000000001,41,2.23,0.74,-2.103
0.30240000000000006,42,2.232,0.791,-2.087
0.30960000000000004,43,2.233,0.842,-2.068
0.3168,44,2.235,0.893,-2.049
0.324,45,2.237,0.943,-2.028
0.3312,46,2.237,0.993,-2.004
0.3384,47,2.237,1.043,-1.979
0.34559999999999996,48,2.238,1.093,-1.953
0.35279999999999995,49,2.238,1.143,-1.924
0.35999999999999993,50,2.238,1.192,-1.894
0.3671999999999999,51,2.237,1.24,-1.862
0.3743999999999999,52,2.237,1.289,-1.828
0.3815999999999999,53,2.236,1.337,-1.793
0.38879999999999987,54,2.235,1.384,-1.755
0.39599999999999985,55,2.235,1.432,-1.716
0.40319999999999984,56,2.234,1.479,-1.674
0.4103999999999998,57,2.232,1.525,-1.63
0.4175999999999998,58,2.231,1.571,-1.584
0.4247999999999998,59,2.23,1.616,-1.537
0.4319999999999998,60,2.23,1.661,-1.488
0.43919999999999976,61,2.228,1.705,-1.435
0.44639999999999974,62,2.228,1.749,-1.381
0.4535999999999997,63,2.228,1.792,-1.324
0.4607999999999997,64,2.228,1.835,-1.265
0.4679999999999997,65,2.229,1.876,-1.204
0.4751999999999997,66,2.231,1.918,-1.14
0.48239999999999966,67,2.234,1.959,-1.073
0.48959999999999965,68,2.237,1.999,-1.005
0.49679999999999963,69,2.241,2.038,-0.933
0.5039999999999997,70,2.247,2.077,-0.858
0.5111999999999997,71,2.255,2.116,-0.78
0.5183999999999996,72,2.264,2.153,-0.7
0.5255999999999996,73,2.275,2.19,-0.616
0.5327999999999996,74,2.288,2.226,-0.529
0.5399999999999996,75,2.304,2.262,-0.439
0.5471999999999996,76,2.323,2.297,-0.346
0.5543999999999996,77,2.345,2.332,-0.248
0.5615999999999995,78,2.37,2.365,-0.147
0.5687999999999995,79,2.399,2.399,-0.042
0.5759999999999995,80,2.432,2.431,0.067
0.5831999999999995,81,2.47,2.463,0.181
0.5903999999999995,82,2.513,2.495,0.298
0.5975999999999995,83,2.561,2.526,0.42
0.6047999999999994,84,2.615,2.557,0.547
0.6119999999999994,85,2.674,2.587,0.678
0.6191999999999994,86,2.741,2.617,0.816
0.6263999999999994,87,2.814,2.646,0.958
0.6335999999999994,88,2.896,2.676,1.107
0.6407999999999994,89,2.985,2.705,1.261
0.6479999999999994,90,3.083,2.735,1.423
0.6551999999999993,91,3.189,2.764,1.589
0.6623999999999993,92,3.305,2.794,1.765
0.6695999999999993,93,3.431,2.825,1.947
0.6767999999999993,94,3.567,2.856,2.136
0.6839999999999993,95,3.713,2.888,2.334
0.6911999999999993,96,3.869,2.92,2.539
0.6983999999999992,97,4.038,2.954,2.753
0.7055999999999992,98,4.217,2.99,2.974
0.7127999999999992,99,4.41,3.027,3.206
0.7199999999999992,100,4.615,3.067,3.448
