Time (seconds),Time (steps),Acceleration (m/s²), X-comp,Y-comp
0,0,5.126,-3.031,-4.133
0.0072,1,5.137,-2.989,-4.178
0.0144,2,5.149,-2.894,-4.259
0.0216,3,5.162,-2.791,-4.342
0.0288,4,5.176,-2.682,-4.427
0.036,5,5.189,-2.558,-4.515
0.043199999999999995,6,5.203,-2.489,-4.569
0.05039999999999999,7,5.218,-2.365,-4.652
0.05759999999999999,8,5.232,-2.28,-4.708
0.0648,9,5.248,-2.147,-4.788
0.072,10,5.261,-2.059,-4.841
0.07919999999999999,11,5.278,-1.919,-4.917
0.08639999999999999,12,5.292,-1.833,-4.964
0.09359999999999999,13,5.308,-1.675,-5.037
0.10079999999999999,14,5.323,-1.601,-5.076
0.10799999999999998,15,5.34,-1.453,-5.138
0.11519999999999998,16,5.356,-1.32,-5.191
0.12239999999999998,17,5.371,-1.242,-5.226
0.1296,18,5.386,-1.104,-5.272
0.1368,19,5.403,-0.957,-5.317
0.14400000000000002,20,5.418,-0.833,-5.354
0.15120000000000003,21,5.433,-0.709,-5.387
0.15840000000000004,22,5.449,-0.584,-5.418
0.16560000000000005,23,5.464,-0.475,-5.444
0.17280000000000006,24,5.478,-0.364,-5.466
0.18000000000000008,25,5.493,-0.203,-5.489
0.1872000000000001,26,5.507,-0.123,-5.505
0.1944000000000001,27,5.519,0.027,-5.519
0.2016000000000001,28,5.533,0.156,-5.53
0.20880000000000012,29,5.547,0.303,-5.538
0.21600000000000014,30,5.558,0.442,-5.54
0.22320000000000015,31,5.57,0.532,-5.544
0.23040000000000016,32,5.582,0.703,-5.537
0.23760000000000017,33,5.593,0.804,-5.535
0.24480000000000018,34,5.602,0.964,-5.519
0.25200000000000017,35,5.611,1.055,-5.511
0.25920000000000015,36,5.62,1.203,-5.49
0.26640000000000014,37,5.629,1.316,-5.473
0.2736000000000001,38,5.638,1.44,-5.45
0.2808000000000001,39,5.642,1.572,-5.419
0.2880000000000001,40,5.651,1.747,-5.374
0.2952000000000001,41,5.655,1.828,-5.351
0.30240000000000006,42,5.661,1.994,-5.298
0.30960000000000004,43,5.664,2.093,-5.263
0.3168,44,5.669,2.264,-5.197
0.324,45,5.672,2.376,-5.151
0.3312,46,5.673,2.482,-5.102
0.3384,47,5.674,2.623,-5.032
0.34559999999999996,48,5.676,2.746,-4.967
0.35279999999999995,49,5.676,2.885,-4.888
0.35999999999999993,50,5.676,3.023,-4.805
0.3671999999999999,51,5.675,3.11,-4.746
0.3743999999999999,52,5.673,3.248,-4.651
0.3815999999999999,53,5.672,3.369,-4.563
0.38879999999999987,54,5.669,3.485,-4.471
0.39599999999999985,55,5.667,3.601,-4.377
0.40319999999999984,56,5.665,3.724,-4.269
0.4103999999999998,57,5.661,3.846,-4.155
0.4175999999999998,58,5.658,3.953,-4.049
0.4247999999999998,59,5.657,4.069,-3.93
0.4319999999999998,60,5.654,4.193,-3.793
0.43919999999999976,61,5.651,4.297,-3.671
0.44639999999999974,62,5.651,4.416,-3.527
0.4535999999999997,63,5.652,4.517,-3.397
0.4607999999999997,64,5.652,4.622,-3.253
0.4679999999999997,65,5.654,4.732,-3.094
0.4751999999999997,66,5.658,4.851,-2.911
0.48239999999999966,67,5.664,4.942,-2.768
0.48959999999999965,68,5.673,5.052,-2.581
0.49679999999999963,69,5.685,5.17,-2.365
0.5039999999999997,70,5.7,5.263,-2.189
0.5111999999999997,71,5.719,5.345,-2.033
0.5183999999999996,72,5.743,5.462,-1.775
0.5255999999999996,73,5.77,5.555,-1.562
0.5327999999999996,74,5.804,5.64,-1.369
0.5399999999999996,75,5.844,5.732,-1.138
0.5471999999999996,76,5.893,5.827,-0.878
0.5543999999999996,77,5.947,5.91,-0.661
0.5615999999999995,78,6.011,5.997,-0.403
0.5687999999999995,79,6.085,6.084,-0.106
0.5759999999999995,80,6.169,6.167,0.142
0.5831999999999995,81,6.264,6.251,0.398
0.5903999999999995,82,6.373,6.33,0.739
0.5975999999999995,83,6.495,6.411,1.039
0.6047999999999994,84,6.631,6.493,1.347
0.6119999999999994,85,6.783,6.561,1.72
0.6191999999999994,86,6.952,6.656,2.006
0.6263999999999994,87,7.138,6.719,2.411
0.6335999999999994,88,7.344,6.814,2.739
0.6407999999999994,89,7.571,6.861,3.199
0.6479999999999994,90,7.819,6.961,3.562
0.6551999999999993,91,8.087,7.03,3.999
0.6623999999999993,92,8.383,7.122,4.422
0.6695999999999993,93,8.701,7.197,4.89
0.6767999999999993,94,9.045,7.278,5.371
0.6839999999999993,95,9.417,7.377,5.853
0.6911999999999993,96,9.814,7.436,6.404
0.6983999999999992,97,10.242,7.561,6.908
0.7055999999999992,98,10.695,7.583,7.543
0.7127999999999992,99,11.183,7.747,8.065
0.7199999999999992,100,11.704,7.852,8.679
0.7271999999999992,101,12.256,7.886,9.382
0.7343999999999992,102,12.844,8.001,10.048
0.7415999999999991,103,13.464,8.124,10.737
0.7487999999999991,104,14.123,8.258,11.457
0.7559999999999991,105,14.816,8.404,12.203
0.7631999999999991,106,15.55,8.564,12.979
0.7703999999999991,107,16.321,8.738,13.785
0.7775999999999991,108,17.126,8.999,14.571
0.784799999999999,109,17.975,9.236,15.42
0.791999999999999,110,18.861,9.374,16.367
0.799199999999999,111,19.781,9.762,17.204
0.806399999999999,112,20.737,10.035,18.147
0.813599999999999,113,21.724,10.369,19.09
0.820799999999999,114,22.759,10.662,20.107
0.827999999999999,115,23.818,10.954,21.149
0.8351999999999989,116,24.908,11.512,22.088
0.8423999999999989,117,26.016,11.974,23.096
0.8495999999999989,118,27.146,12.345,24.176
0.8567999999999989,119,28.294,13.051,25.105
0.8639999999999989,120,29.442,13.689,26.066
0.8711999999999989,121,30.595,14.278,27.059
0.8783999999999988,122,31.737,15.084,27.924
0.8855999999999988,123,32.868,15.859,28.789
0.8927999999999988,124,33.945,16.745,29.528
0.8999999999999988,125,34.99,17.53,30.282
0.9071999999999988,126,35.99,18.466,30.891
0.9143999999999988,127,36.907,19.282,31.47
0.9215999999999988,128,37.756,20.318,31.823
0.9287999999999987,129,38.489,21.61,31.85
0.9359999999999987,130,39.112,22.665,31.875
0.9431999999999987,131,39.623,23.82,31.665
0.9503999999999987,132,39.967,24.886,31.274
0.9575999999999987,133,40.202,26.096,30.581
0.9647999999999987,134,40.241,27,29.839
0.9719999999999986,135,40.143,28.169,28.6
0.9791999999999986,136,39.867,29.107,27.242
0.9863999999999986,137,39.45,29.932,25.697
0.9935999999999986,138,38.865,30.724,23.803
1.0007999999999986,139,38.123,31.209,21.894
1.0079999999999987,140,37.239,31.685,19.565
1.0151999999999988,141,36.257,31.93,17.177
1.0223999999999989,142,35.175,31.994,14.617
1.029599999999999,143,34.04,31.96,11.718
1.036799999999999,144,32.859,31.596,9.023
1.0439999999999992,145,31.682,31.137,5.849
1.0511999999999992,146,30.522,30.357,3.168
1.0583999999999993,147,29.41,29.409,0.242
1.0655999999999994,148,28.389,28.25,-2.804
1.0727999999999995,149,27.488,26.92,-5.56
1.0799999999999996,150,26.699,25.378,-8.295
1.0871999999999997,151,26.035,23.714,-10.745
