Time (seconds),Time (steps),Acceleration (m/s²), X-comp,Y-comp
0,0,6.09,-1.695,-5.849
0.0072,1,6.103,-1.64,-5.879
0.0144,2,6.129,-1.506,-5.941
0.0216,3,6.155,-1.362,-6.003
0.0288,4,6.184,-1.208,-6.065
0.036,5,6.215,-1.034,-6.128
0.043199999999999995,6,6.235,-0.943,-6.164
0.05039999999999999,7,6.267,-0.77,-6.22
0.05759999999999999,8,6.289,-0.659,-6.255
0.0648,9,6.323,-0.474,-6.305
0.072,10,6.345,-0.359,-6.335
0.07919999999999999,11,6.381,-0.166,-6.379
0.08639999999999999,12,6.403,-0.055,-6.403
0.09359999999999999,13,6.44,0.16,-6.438
0.10079999999999999,14,6.461,0.253,-6.456
0.10799999999999998,15,6.496,0.452,-6.481
0.11519999999999998,16,6.528,0.628,-6.498
0.12239999999999998,17,6.549,0.725,-6.508
0.1296,18,6.58,0.905,-6.517
0.1368,19,6.614,1.1,-6.522
0.14400000000000002,20,6.643,1.259,-6.522
0.15120000000000003,21,6.671,1.418,-6.518
0.15840000000000004,22,6.699,1.577,-6.511
0.16560000000000005,23,6.724,1.714,-6.502
0.17280000000000006,24,6.748,1.85,-6.489
0.18000000000000008,25,6.78,2.057,-6.461
0.1872000000000001,26,6.799,2.15,-6.45
0.1944000000000001,27,6.827,2.338,-6.414
0.2016000000000001,28,6.852,2.498,-6.38
0.20880000000000012,29,6.881,2.681,-6.337
0.21600000000000014,30,6.905,2.851,-6.289
0.22320000000000015,31,6.921,2.952,-6.259
0.23040000000000016,32,6.951,3.165,-6.188
0.23760000000000017,33,6.968,3.28,-6.147
0.24480000000000018,34,6.993,3.475,-6.068
0.25200000000000017,35,7.005,3.575,-6.024
0.25920000000000015,36,7.027,3.749,-5.943
0.26640000000000014,37,7.043,3.876,-5.88
0.2736000000000001,38,7.059,4.018,-5.804
0.2808000000000001,39,7.073,4.166,-5.716
0.2880000000000001,40,7.098,4.372,-5.592
0.2952000000000001,41,7.101,4.45,-5.534
0.30240000000000006,42,7.122,4.641,-5.402
0.30960000000000004,43,7.127,4.74,-5.321
0.3168,44,7.147,4.933,-5.171
0.324,45,7.154,5.047,-5.07
0.3312,46,7.157,5.151,-4.968
0.3384,47,7.165,5.297,-4.825
0.34559999999999996,48,7.171,5.421,-4.695
0.35279999999999995,49,7.178,5.561,-4.539
0.35999999999999993,50,7.186,5.697,-4.379
0.3671999999999999,51,7.18,5.769,-4.275
0.3743999999999999,52,7.184,5.9,-4.098
0.3815999999999999,53,7.186,6.009,-3.94
0.38879999999999987,54,7.183,6.109,-3.778
0.39599999999999985,55,7.182,6.207,-3.614
0.40319999999999984,56,7.182,6.31,-3.429
0.4103999999999998,57,7.178,6.407,-3.236
0.4175999999999998,58,7.172,6.486,-3.061
0.4247999999999998,59,7.17,6.572,-2.865
0.4319999999999998,60,7.168,6.664,-2.642
0.43919999999999976,61,7.159,6.727,-2.449
0.44639999999999974,62,7.158,6.805,-2.219
0.4535999999999997,63,7.153,6.862,-2.019
0.4607999999999997,64,7.147,6.917,-1.799
0.4679999999999997,65,7.145,6.974,-1.556
0.4751999999999997,66,7.147,7.032,-1.276
0.48239999999999966,67,7.144,7.063,-1.068
0.48959999999999965,68,7.149,7.105,-0.79
0.49679999999999963,69,7.159,7.144,-0.47
0.5039999999999997,70,7.165,7.162,-0.218
0.5111999999999997,71,7.169,7.169,-0.004
0.5183999999999996,72,7.195,7.185,0.371
0.5255999999999996,73,7.214,7.183,0.666
0.5327999999999996,74,7.235,7.176,0.926
0.5399999999999996,75,7.269,7.162,1.243
0.5471999999999996,76,7.314,7.137,1.599
0.5543999999999996,77,7.357,7.111,1.886
0.5615999999999995,78,7.415,7.073,2.226
0.5687999999999995,79,7.488,7.015,2.62
0.5759999999999995,80,7.564,6.969,2.94
0.5831999999999995,81,7.652,6.92,3.267
0.5903999999999995,82,7.767,6.825,3.707
0.5975999999999995,83,7.888,6.748,4.085
0.6047999999999994,84,8.027,6.666,4.471
0.6119999999999994,85,8.19,6.535,4.936
0.6191999999999994,86,8.36,6.473,5.29
0.6263999999999994,87,8.564,6.315,5.784
0.6335999999999994,88,8.78,6.231,6.186
0.6407999999999994,89,9.035,6.021,6.736
0.6479999999999994,90,9.302,5.918,7.177
0.6551999999999993,91,9.601,5.741,7.695
0.6623999999999993,92,9.928,5.596,8.201
0.6695999999999993,93,10.286,5.405,8.752
0.6767999999999993,94,10.676,5.212,9.317
0.6839999999999993,95,11.095,5.038,9.885
0.6911999999999993,96,11.551,4.778,10.516
0.6983999999999992,97,12.037,4.617,11.116
0.7055999999999992,98,12.564,4.262,11.819
0.7127999999999992,99,13.121,4.138,12.452
0.7199999999999992,100,13.723,3.889,13.161
0.7271999999999992,101,14.366,3.504,13.932
0.7343999999999992,102,15.047,3.235,14.695
0.7415999999999991,103,15.767,2.961,15.487
0.7487999999999991,104,16.534,2.68,16.315
0.7559999999999991,105,17.341,2.398,17.174
0.7631999999999991,106,18.197,2.113,18.073
0.7703999999999991,107,19.094,1.827,19.006
0.7775999999999991,108,20.033,1.656,19.964
0.784799999999999,109,21.024,1.416,20.977
0.791999999999999,110,22.06,1.002,22.037
0.799199999999999,111,23.133,0.947,23.114
0.806399999999999,112,24.252,0.692,24.242
