Time (seconds),Time (steps),Acceleration (m/s²), X-comp,Y-comp
0,0,10.433,-2.903,-10.021
0.0072,1,10.456,-2.809,-10.072
0.0144,2,10.5,-2.58,-10.178
0.0216,3,10.545,-2.37,-10.275
0.0288,4,10.594,-2.069,-10.39
0.036,5,10.647,-1.806,-10.492
0.043199999999999995,6,10.682,-1.615,-10.559
0.05039999999999999,7,10.737,-1.32,-10.655
0.05759999999999999,8,10.775,-1.172,-10.711
0.0648,9,10.833,-0.812,-10.802
0.072,10,10.87,-0.658,-10.85
0.07919999999999999,11,10.932,-0.285,-10.928
0.08639999999999999,12,10.969,-0.134,-10.969
0.09359999999999999,13,11.033,0.274,-11.03
0.10079999999999999,14,11.068,0.419,-11.06
0.10799999999999998,15,11.129,0.774,-11.102
0.11519999999999998,16,11.184,1.043,-11.135
0.12239999999999998,17,11.219,1.229,-11.152
0.1296,18,11.273,1.521,-11.169
0.1368,19,11.331,1.845,-11.18
0.14400000000000002,20,11.38,2.157,-11.174
0.15120000000000003,21,11.428,2.395,-11.174
0.15840000000000004,22,11.477,2.688,-11.158
0.16560000000000005,23,11.52,2.887,-11.152
0.17280000000000006,24,11.56,3.17,-11.117
0.18000000000000008,25,11.616,3.523,-11.069
0.1872000000000001,26,11.647,3.647,-11.061
0.1944000000000001,27,11.695,3.968,-11.001
0.2016000000000001,28,11.738,4.279,-10.93
0.20880000000000012,29,11.788,4.549,-10.875
0.21600000000000014,30,11.829,4.847,-10.79
0.22320000000000015,31,11.856,5.058,-10.723
0.23040000000000016,32,11.908,5.423,-10.601
0.23760000000000017,33,11.937,5.606,-10.538
0.24480000000000018,34,11.98,5.926,-10.412
0.25200000000000017,35,12.001,6.124,-10.321
0.25920000000000015,36,12.038,6.423,-10.181
0.26640000000000014,37,12.065,6.599,-10.101
0.2736000000000001,38,12.093,6.843,-9.971
0.2808000000000001,39,12.117,7.137,-9.792
0.2880000000000001,40,12.161,7.49,-9.58
0.2952000000000001,41,12.165,7.597,-9.502
0.30240000000000006,42,12.2,7.921,-9.279
0.30960000000000004,43,12.209,8.085,-9.148
0.3168,44,12.243,8.417,-8.891
0.324,45,12.256,8.624,-8.708
0.3312,46,12.26,8.808,-8.529
0.3384,47,12.275,9.075,-8.265
0.34559999999999996,48,12.286,9.288,-8.043
0.35279999999999995,49,12.298,9.527,-7.776
0.35999999999999993,50,12.311,9.735,-7.535
0.3671999999999999,51,12.301,9.883,-7.324
0.3743999999999999,52,12.308,10.109,-7.021
0.3815999999999999,53,12.31,10.273,-6.783
0.38879999999999987,54,12.305,10.466,-6.472
0.39599999999999985,55,12.304,10.633,-6.192
0.40319999999999984,56,12.303,10.796,-5.901
0.4103999999999998,57,12.297,10.955,-5.586
0.4175999999999998,58,12.287,11.112,-5.244
0.4247999999999998,59,12.283,11.239,-4.955
0.4319999999999998,60,12.28,11.404,-4.555
0.43919999999999976,61,12.266,11.525,-4.197
0.44639999999999974,62,12.263,11.659,-3.802
0.4535999999999997,63,12.254,11.756,-3.459
0.4607999999999997,64,12.244,11.845,-3.1
0.4679999999999997,65,12.241,11.937,-2.711
0.4751999999999997,66,12.244,12.039,-2.228
0.48239999999999966,67,12.238,12.101,-1.829
0.48959999999999965,68,12.247,12.172,-1.353
0.49679999999999963,69,12.265,12.238,-0.816
0.5039999999999997,70,12.274,12.267,-0.418
0.5111999999999997,71,12.282,12.282,-0.028
0.5183999999999996,72,12.326,12.311,0.591
0.5255999999999996,73,12.359,12.306,1.142
0.5327999999999996,74,12.395,12.298,1.551
0.5399999999999996,75,12.453,12.278,2.082
0.5471999999999996,76,12.531,12.228,2.74
0.5543999999999996,77,12.604,12.183,3.23
0.5615999999999995,78,12.703,12.132,3.766
0.5687999999999995,79,12.829,12.018,4.488
0.5759999999999995,80,12.958,11.949,5.013
0.5831999999999995,81,13.11,11.867,5.572
0.5903999999999995,82,13.306,11.693,6.35
0.5975999999999995,83,13.514,11.56,6.999
0.6047999999999994,84,13.751,11.442,7.626
0.6119999999999994,85,14.03,11.225,8.416
0.6191999999999994,86,14.321,11.095,9.055
0.6263999999999994,87,14.671,10.819,9.909
0.6335999999999994,88,15.042,10.674,10.598
0.6407999999999994,89,15.478,10.348,11.51
0.6479999999999994,90,15.936,10.181,12.26
0.6551999999999993,91,16.449,9.836,13.184
0.6623999999999993,92,17.008,9.586,14.049
0.6695999999999993,93,17.622,9.259,14.993
0.6767999999999993,94,18.289,8.97,15.938
0.6839999999999993,95,19.008,8.631,16.935
0.6911999999999993,96,19.788,8.247,17.988
0.6983999999999992,97,20.621,7.94,19.031
0.7055999999999992,98,21.525,7.333,20.237
0.7127999999999992,99,22.479,7.089,21.332
0.7199999999999992,100,23.51,6.722,22.528
0.7271999999999992,101,24.612,6.087,23.847
0.7343999999999992,102,25.779,5.542,25.176
0.7415999999999991,103,27.012,5.072,26.531
0.7487999999999991,104,28.325,4.592,27.95
0.7559999999999991,105,29.708,4.108,29.422
0.7631999999999991,106,31.173,3.728,30.949
0.7703999999999991,107,32.712,3.13,32.562
0.7775999999999991,108,34.32,2.836,34.202
0.784799999999999,109,36.018,2.523,35.929
0.791999999999999,110,37.792,1.841,37.747
0.799199999999999,111,39.631,1.622,39.598
0.806399999999999,112,41.548,1.335,41.526
0.813599999999999,113,43.521,0.927,43.512
0.820799999999999,114,45.594,0.401,45.592
0.827999999999999,115,47.716,-0.004,47.716
0.8351999999999989,116,49.9,0.04,49.9
0.8423999999999989,117,52.118,-0.086,52.118
0.8495999999999989,118,54.381,-0.468,54.379
0.8567999999999989,119,56.685,-0.021,56.685
0.8639999999999989,120,58.983,0.253,58.983
0.8711999999999989,121,61.293,0.399,61.292
0.8783999999999988,122,63.581,1.11,63.572
0.8855999999999988,123,65.85,1.759,65.826
0.8927999999999988,124,68.007,3.031,67.939
0.8999999999999988,125,70.104,3.55,70.014
0.9071999999999988,126,72.112,4.786,71.953
0.9143999999999988,127,73.958,5.816,73.729
0.9215999999999988,128,75.664,7.52,75.289
0.9287999999999987,129,77.134,10.072,76.473
0.9359999999999987,130,78.392,12.459,77.395
0.9431999999999987,131,79.427,14.673,78.06
0.9503999999999987,132,80.131,17.313,78.238
0.9575999999999987,133,80.609,20.328,78.003
0.9647999999999987,134,80.725,23.01,77.376
0.9719999999999986,135,80.543,26.719,75.981
0.9791999999999986,136,80.025,29.815,74.264
0.9863999999999986,137,79.245,32.947,72.071
0.9935999999999986,138,78.125,36.693,68.972
1.0007999999999986,139,76.746,39.322,65.907
1.0079999999999987,140,75.065,42.672,61.756
1.0151999999999988,141,73.238,45.593,57.316
1.0223999999999989,142,71.236,48.239,52.418
1.029599999999999,143,69.116,50.966,46.686
1.036799999999999,144,66.995,52.862,41.158
1.0439999999999992,145,64.83,54.87,34.529
1.0511999999999992,146,62.849,55.95,28.629
1.0583999999999993,147,60.932,56.716,22.27
1.0655999999999994,148,59.174,57.22,15.081
1.0727999999999995,149,57.716,57.052,8.728
1.0799999999999996,150,56.456,56.425,1.852
1.0871999999999997,151,55.471,55.318,-4.116
1.0943999999999998,152,54.802,53.892,-9.947
1.1016,153,54.299,51.86,-16.091
1.1088,154,54.019,49.524,-21.575
1.116,155,53.932,47.121,-26.235
1.1232000000000002,156,53.865,43.791,-31.365
1.1304000000000003,157,54.006,40.722,-35.473
1.1376000000000004,158,54.164,37.657,-38.933
1.1448000000000005,159,54.32,34.309,-42.113
1.1520000000000006,160,54.456,30.769,-44.93
1.1592000000000007,161,54.557,27.144,-47.325
1.1664000000000008,162,54.619,23.689,-49.214
1.1736000000000009,163,54.546,20.136,-50.693
1.180800000000001,164,54.383,16.23,-51.905
1.188000000000001,165,54.194,12.985,-52.615
1.1952000000000012,166,53.939,9.901,-53.022
1.2024000000000012,167,53.504,6.473,-53.111
1.2096000000000013,168,53.05,3.727,-52.919
1.2168000000000014,169,52.485,0.708,-52.481
1.2240000000000015,170,51.887,-1.77,-51.857
1.2312000000000016,171,51.197,-4.353,-51.011
1.2384000000000017,172,50.445,-6.752,-49.991
1.2456000000000018,173,49.649,-8.915,-48.842
1.252800000000002,174,48.818,-10.754,-47.619
1.260000000000002,175,47.927,-12.357,-46.307
1.267200000000002,176,47.03,-13.862,-44.941
1.2744000000000022,177,46.055,-15.664,-43.31
1.2816000000000023,178,45.098,-16.777,-41.861
1.2888000000000024,179,44.152,-17.478,-40.545
1.2960000000000025,180,43.147,-18.691,-38.888
1.3032000000000026,181,42.151,-19.622,-37.305
1.3104000000000027,182,41.129,-20.406,-35.71
1.3176000000000028,183,40.16,-20.945,-34.266
1.3248000000000029,184,39.164,-21.569,-32.689
1.332000000000003,185,38.201,-21.831,-31.349
1.339200000000003,186,37.245,-22.165,-29.932
1.3464000000000031,187,36.25,-22.642,-28.309
1.3536000000000032,188,35.326,-22.856,-26.935
1.3608000000000033,189,34.436,-22.717,-25.88
1.3680000000000034,190,33.524,-22.874,-24.509
1.3752000000000035,191,32.613,-23.042,-23.079
1.3824000000000036,192,31.78,-22.778,-22.161
1.3896000000000037,193,30.923,-22.796,-20.894
1.3968000000000038,194,30.079,-22.792,-19.629
1.404000000000004,195,29.286,-22.581,-18.649
1.411200000000004,196,28.522,-22.26,-17.832
1.418400000000004,197,27.737,-22.269,-16.536
1.4256000000000042,198,27.019,-21.886,-15.843
1.4328000000000043,199,26.297,-21.72,-14.825
1.4400000000000044,200,25.611,-21.388,-14.088
1.4472000000000045,201,24.93,-21.138,-13.216
1.4544000000000046,202,24.285,-20.854,-12.444
1.4616000000000047,203,23.653,-20.556,-11.7
1.4688000000000048,204,23.045,-20.252,-10.997
1.4760000000000049,205,22.476,-19.853,-10.537
1.483200000000005,206,21.889,-19.624,-9.697
1.490400000000005,207,21.347,-19.239,-9.25
1.4976000000000051,208,20.823,-18.901,-8.738
1.5048000000000052,209,20.315,-18.616,-8.133
1.5120000000000053,210,19.808,-18.325,-7.52
1.5192000000000054,211,19.326,-18.022,-6.979
1.5264000000000055,212,18.883,-17.66,-6.684
1.5336000000000056,213,18.427,-17.364,-6.168
1.5408000000000057,214,18.005,-17.064,-5.745
1.5480000000000058,215,17.59,-16.764,-5.327
1.555200000000006,216,17.212,-16.432,-5.124
1.562400000000006,217,16.817,-16.17,-4.618
1.569600000000006,218,16.463,-15.854,-4.436
1.5768000000000062,219,16.099,-15.608,-3.945
1.5840000000000063,220,15.769,-15.307,-3.788
1.5912000000000064,221,15.435,-15.064,-3.363
1.5984000000000065,222,15.124,-14.787,-3.172
1.6056000000000066,223,14.822,-14.54,-2.879
1.6128000000000067,224,14.543,-14.286,-2.718
1.6200000000000068,225,14.259,-14.043,-2.475
1.6272000000000069,226,13.996,-13.808,-2.286
1.634400000000007,227,13.737,-13.583,-2.046
1.641600000000007,228,13.489,-13.365,-1.826
1.6488000000000071,229,13.259,-13.145,-1.735
1.6560000000000072,230,13.024,-12.945,-1.437
1.6632000000000073,231,12.817,-12.742,-1.384
1.6704000000000074,232,12.603,-12.546,-1.197
1.6776000000000075,233,12.404,-12.363,-1.008
1.6848000000000076,234,12.21,-12.179,-0.877
1.6920000000000077,235,12.028,-12.006,-0.726
1.6992000000000078,236,11.854,-11.837,-0.634
1.706400000000008,237,11.686,-11.675,-0.489
1.713600000000008,238,11.528,-11.521,-0.382
1.720800000000008,239,11.384,-11.378,-0.364
1.7280000000000082,240,11.24,-11.236,-0.288
1.7352000000000083,241,11.095,-11.094,-0.145
1.7424000000000084,242,10.968,-10.967,-0.102
1.7496000000000085,243,10.839,-10.839,-0.013
1.7568000000000086,244,10.72,-10.72,0.06
1.7640000000000087,245,10.606,-10.605,0.14
1.7712000000000088,246,10.495,-10.492,0.247
1.7784000000000089,247,10.39,-10.384,0.341
1.785600000000009,248,10.293,-10.285,0.405
1.792800000000009,249,10.201,-10.19,0.456
1.8000000000000091,250,10.116,-10.105,0.472
1.8072000000000092,251,10.039,-10.03,0.426
1.8144000000000093,252,9.955,-9.941,0.526
1.8216000000000094,253,9.883,-9.868,0.544
1.8288000000000095,254,9.81,-9.791,0.615
1.8360000000000096,255,9.75,-9.73,0.625
1.8432000000000097,256,9.684,-9.66,0.683
1.8504000000000098,257,9.629,-9.606,0.667
1.85760000000001,258,9.575,-9.549,0.703
1.86480000000001,259,9.527,-9.502,0.695
1.87200000000001,260,9.479,-9.45,0.735
1.8792000000000102,261,9.433,-9.4,0.791
1.8864000000000103,262,9.399,-9.371,0.721
1.8936000000000104,263,9.359,-9.326,0.777
1.9008000000000105,264,9.332,-9.306,0.692
1.9080000000000106,265,9.295,-9.263,0.773
1.9152000000000107,266,9.273,-9.248,0.688
1.9224000000000108,267,9.241,-9.209,0.767
1.9296000000000109,268,9.222,-9.195,0.707
1.936800000000011,269,9.196,-9.164,0.771
1.944000000000011,270,9.181,-9.153,0.711
1.9512000000000111,271,9.164,-9.134,0.738
1.9584000000000112,272,9.151,-9.126,0.672
1.9656000000000113,273,9.142,-9.12,0.633
1.9728000000000114,274,9.13,-9.107,0.643
1.9800000000000115,275,9.122,-9.102,0.601
1.9872000000000116,276,9.122,-9.107,0.524
1.9944000000000117,277,9.116,-9.102,0.515
2.001600000000012,278,9.109,-9.093,0.532
2.008800000000012,279,9.11,-9.098,0.471
2.016000000000012,280,9.113,-9.106,0.368
2.023200000000012,281,9.111,-9.104,0.375
2.030400000000012,282,9.112,-9.105,0.338
2.0376000000000123,283,9.119,-9.115,0.286
2.0448000000000124,284,9.12,-9.117,0.254
2.0520000000000125,285,9.134,-9.133,0.118
2.0592000000000126,286,9.142,-9.142,0.029
2.0664000000000127,287,9.145,-9.145,0.042
2.0736000000000128,288,9.153,-9.153,-0.014
2.080800000000013,289,9.166,-9.166,-0.121
2.088000000000013,290,9.178,-9.176,-0.232
2.095200000000013,291,9.18,-9.177,-0.221
2.102400000000013,292,9.193,-9.189,-0.287
2.1096000000000132,293,9.205,-9.197,-0.386
2.1168000000000133,294,9.215,-9.204,-0.459
2.1240000000000134,295,9.234,-9.213,-0.625
2.1312000000000135,296,9.243,-9.218,-0.67
2.1384000000000136,297,9.258,-9.225,-0.775
2.1456000000000137,298,9.273,-9.227,-0.926
2.152800000000014,299,9.28,-9.235,-0.92
2.160000000000014,300,9.291,-9.233,-1.039
2.167200000000014,301,9.304,-9.237,-1.116
2.174400000000014,302,9.321,-9.231,-1.294
2.181600000000014,303,9.335,-9.228,-1.408
2.1888000000000143,304,9.347,-9.223,-1.52
2.1960000000000144,305,9.358,-9.217,-1.618
2.2032000000000145,306,9.369,-9.213,-1.702
2.2104000000000146,307,9.384,-9.201,-1.846
2.2176000000000147,308,9.402,-9.181,-2.025
2.2248000000000148,309,9.407,-9.176,-2.072
2.232000000000015,310,9.418,-9.15,-2.228
2.239200000000015,311,9.437,-9.118,-2.435
2.246400000000015,312,9.449,-9.088,-2.587
2.253600000000015,313,9.459,-9.068,-2.691
2.2608000000000152,314,9.472,-9.035,-2.845
2.2680000000000153,315,9.483,-8.995,-3.004
2.2752000000000154,316,9.494,-8.953,-3.16
2.2824000000000155,317,9.506,-8.912,-3.309
2.2896000000000156,318,9.507,-8.902,-3.337
2.2968000000000157,319,9.519,-8.847,-3.513
