Time (seconds),Time (steps),Acceleration (m/s²), X-comp,Y-comp
0,0,5.209,-1.45,-5.003
0.0072,1,5.22,-1.402,-5.028
0.0144,2,5.242,-1.288,-5.081
0.0216,3,5.264,-1.165,-5.134
0.0288,4,5.289,-1.033,-5.187
0.036,5,5.315,-0.885,-5.241
0.043199999999999995,6,5.333,-0.806,-5.272
0.05039999999999999,7,5.36,-0.659,-5.32
0.05759999999999999,8,5.379,-0.563,-5.35
0.0648,9,5.408,-0.405,-5.393
0.072,10,5.427,-0.307,-5.418
0.07919999999999999,11,5.458,-0.142,-5.456
0.08639999999999999,12,5.476,-0.047,-5.476
0.09359999999999999,13,5.508,0.137,-5.507
0.10079999999999999,14,5.526,0.216,-5.521
0.10799999999999998,15,5.556,0.386,-5.543
0.11519999999999998,16,5.584,0.537,-5.558
0.12239999999999998,17,5.601,0.62,-5.567
0.1296,18,5.628,0.774,-5.574
0.1368,19,5.657,0.941,-5.578
0.14400000000000002,20,5.681,1.077,-5.578
0.15120000000000003,21,5.705,1.213,-5.575
0.15840000000000004,22,5.73,1.349,-5.569
0.16560000000000005,23,5.751,1.466,-5.561
0.17280000000000006,24,5.771,1.583,-5.55
0.18000000000000008,25,5.799,1.759,-5.526
0.1872000000000001,26,5.815,1.839,-5.516
0.1944000000000001,27,5.839,2,-5.485
0.2016000000000001,28,5.86,2.137,-5.457
0.20880000000000012,29,5.885,2.293,-5.42
0.21600000000000014,30,5.905,2.438,-5.378
0.22320000000000015,31,5.919,2.525,-5.353
0.23040000000000016,32,5.945,2.708,-5.293
0.23760000000000017,33,5.959,2.805,-5.258
0.24480000000000018,34,5.981,2.972,-5.19
0.25200000000000017,35,5.991,3.057,-5.152
0.25920000000000015,36,6.01,3.207,-5.083
0.26640000000000014,37,6.024,3.315,-5.029
0.2736000000000001,38,6.037,3.436,-4.964
0.2808000000000001,39,6.049,3.563,-4.888
0.2880000000000001,40,6.071,3.74,-4.783
0.2952000000000001,41,6.074,3.806,-4.733
0.30240000000000006,42,6.091,3.969,-4.62
0.30960000000000004,43,6.095,4.054,-4.551
0.3168,44,6.112,4.219,-4.423
0.324,45,6.119,4.317,-4.336
0.3312,46,6.121,4.406,-4.249
0.3384,47,6.128,4.531,-4.126
0.34559999999999996,48,6.134,4.637,-4.015
0.35279999999999995,49,6.14,4.756,-3.882
0.35999999999999993,50,6.146,4.873,-3.745
0.3671999999999999,51,6.141,4.934,-3.656
0.3743999999999999,52,6.145,5.047,-3.505
0.3815999999999999,53,6.146,5.14,-3.37
0.38879999999999987,54,6.143,5.225,-3.231
