Time (seconds),Time (steps),Acceleration (rad/s²)
0,0,1.504
0.0072,1,1.482
0.0144,2,1.461
0.0216,3,1.441
0.0288,4,1.42
0.036,5,1.399
0.043199999999999995,6,1.377
0.05039999999999999,7,1.355
0.05759999999999999,8,1.333
0.0648,9,1.311
0.072,10,1.288
0.07919999999999999,11,1.266
0.08639999999999999,12,1.242
0.09359999999999999,13,1.22
0.10079999999999999,14,1.196
0.10799999999999998,15,1.173
0.11519999999999998,16,1.149
0.12239999999999998,17,1.125
0.1296,18,1.101
0.1368,19,1.076
0.14400000000000002,20,1.052
0.15120000000000003,21,1.027
0.15840000000000004,22,1.001
0.16560000000000005,23,0.976
0.17280000000000006,24,0.95
0.18000000000000008,25,0.924
0.1872000000000001,26,0.897
0.1944000000000001,27,0.87
0.2016000000000001,28,0.843
0.20880000000000012,29,0.816
0.21600000000000014,30,0.788
0.22320000000000015,31,0.76
0.23040000000000016,32,0.731
0.23760000000000017,33,0.702
0.24480000000000018,34,0.673
0.25200000000000017,35,0.643
0.25920000000000015,36,0.613
0.26640000000000014,37,0.583
0.2736000000000001,38,0.552
0.2808000000000001,39,0.52
0.2880000000000001,40,0.487
0.2952000000000001,41,0.455
0.30240000000000006,42,0.421
0.30960000000000004,43,0.387
0.3168,44,0.351
0.324,45,0.317
0.3312,46,0.281
0.3384,47,0.243
0.34559999999999996,48,0.206
0.35279999999999995,49,0.167
0.35999999999999993,50,0.127
0.3671999999999999,51,0.088
0.3743999999999999,52,0.046
0.3815999999999999,53,0.004
0.38879999999999987,54,-0.04
0.39599999999999985,55,-0.084
0.40319999999999984,56,-0.13
0.4103999999999998,57,-0.177
0.4175999999999998,58,-0.225
0.4247999999999998,59,-0.274
0.4319999999999998,60,-0.326
0.43919999999999976,61,-0.378
0.44639999999999974,62,-0.433
0.4535999999999997,63,-0.488
0.4607999999999997,64,-0.545
0.4679999999999997,65,-0.605
0.4751999999999997,66,-0.667
0.48239999999999966,67,-0.729
0.48959999999999965,68,-0.795
0.49679999999999963,69,-0.865
0.5039999999999997,70,-0.935
0.5111999999999997,71,-1.005
0.5183999999999996,72,-1.084
0.5255999999999996,73,-1.162
0.5327999999999996,74,-1.242
0.5399999999999996,75,-1.326
0.5471999999999996,76,-1.414
0.5543999999999996,77,-1.504
0.5615999999999995,78,-1.599
0.5687999999999995,79,-1.7
0.5759999999999995,80,-1.801
0.5831999999999995,81,-1.906
0.5903999999999995,82,-2.02
0.5975999999999995,83,-2.136
0.6047999999999994,84,-2.257
0.6119999999999994,85,-2.385
0.6191999999999994,86,-2.515
0.6263999999999994,87,-2.655
0.6335999999999994,88,-2.798
0.6407999999999994,89,-2.953
0.6479999999999994,90,-3.111
0.6551999999999993,91,-3.277
0.6623999999999993,92,-3.453
0.6695999999999993,93,-3.636
0.6767999999999993,94,-3.828
0.6839999999999993,95,-4.029
0.6911999999999993,96,-4.241
0.6983999999999992,97,-4.462
0.7055999999999992,98,-4.695
0.7127999999999992,99,-4.937
0.7199999999999992,100,-5.194
0.7271999999999992,101,-5.463
0.7343999999999992,102,-5.745
0.7415999999999991,103,-6.039
0.7487999999999991,104,-6.35
0.7559999999999991,105,-6.673
0.7631999999999991,106,-7.014
0.7703999999999991,107,-7.369
0.7775999999999991,108,-7.738
0.784799999999999,109,-8.126
0.791999999999999,110,-8.53
0.799199999999999,111,-8.948
0.806399999999999,112,-9.383
0.813599999999999,113,-9.83
0.820799999999999,114,-10.299
0.827999999999999,115,-10.778
0.8351999999999989,116,-11.272
0.8423999999999989,117,-11.773
0.8495999999999989,118,-12.284
0.8567999999999989,119,-12.804
0.8639999999999989,120,-13.323
0.8711999999999989,121,-13.845
0.8783999999999988,122,-14.361
0.8855999999999988,123,-14.872
0.8927999999999988,124,-15.356
0.8999999999999988,125,-15.826
0.9071999999999988,126,-16.273
0.9143999999999988,127,-16.679
0.9215999999999988,128,-17.049
0.9287999999999987,129,-17.36
0.9359999999999987,130,-17.615
0.9431999999999987,131,-17.81
0.9503999999999987,132,-17.918
0.9575999999999987,133,-17.961
0.9647999999999987,134,-17.904
0.9719999999999986,135,-17.76
0.9791999999999986,136,-17.516
0.9863999999999986,137,-17.184
0.9935999999999986,138,-16.744
1.0007999999999986,139,-16.208
1.0079999999999987,140,-15.564
1.0151999999999988,141,-14.839
1.0223999999999989,142,-14.024
1.029599999999999,143,-13.13
1.036799999999999,144,-12.178
1.0439999999999992,145,-11.149
1.0511999999999992,146,-10.097
1.0583999999999993,147,-8.995
1.0655999999999994,148,-7.867
1.0727999999999995,149,-6.744
1.0799999999999996,150,-5.614
1.0871999999999997,151,-4.5
1.0943999999999998,152,-3.409
1.1016,153,-2.334
1.1088,154,-1.316
1.116,155,-0.345
1.1232000000000002,156,0.589
