Time (seconds),Time (steps),Torque (N·m)
0,0,-47.039
0.0072,1,-52.207
0.0144,2,-75.812
0.0216,3,-101.816
0.0288,4,-130.037
0.036,5,-162.7
0.043199999999999995,6,-176.885
0.05039999999999999,7,-209.426
0.05759999999999999,8,-228.5
0.0648,9,-263.645
0.072,10,-283.803
0.07919999999999999,11,-320.756
0.08639999999999999,12,-340.392
0.09359999999999999,13,-382.186
0.10079999999999999,14,-398.196
0.10799999999999998,15,-436.706
0.11519999999999998,16,-470.55
0.12239999999999998,17,-488.023
0.1296,18,-523.002
0.1368,19,-560.977
0.14400000000000002,20,-591.803
0.15120000000000003,21,-622.756
0.15840000000000004,22,-653.919
0.16560000000000005,23,-680.488
0.17280000000000006,24,-707.334
0.18000000000000008,25,-748.744
0.1872000000000001,26,-767.1
0.1944000000000001,27,-805.251
0.2016000000000001,28,-837.664
0.20880000000000012,29,-875.073
0.21600000000000014,30,-909.993
0.22320000000000015,31,-931.194
0.23040000000000016,32,-975.445
0.23760000000000017,33,-999.773
0.24480000000000018,34,-1040.956
0.25200000000000017,35,-1062.837
0.25920000000000015,36,-1100.425
0.26640000000000014,37,-1128.366
0.2736000000000001,38,-1159.697
0.2808000000000001,39,-1192.93
0.2880000000000001,40,-1238.412
0.2952000000000001,41,-1257.661
0.30240000000000006,42,-1300.757
0.30960000000000004,43,-1325.215
0.3168,44,-1369.789
0.324,45,-1398.069
0.3312,46,-1424.658
0.3384,47,-1461.018
0.34559999999999996,48,-1492.826
0.35279999999999995,49,-1528.944
0.35999999999999993,50,-1564.803
0.3671999999999999,51,-1586.506
0.3743999999999999,52,-1622.782
0.3815999999999999,53,-1654.248
0.38879999999999987,54,-1684.527
0.39599999999999985,55,-1714.712
0.40319999999999984,56,-1747.336
0.4103999999999998,57,-1779.627
0.4175999999999998,58,-1807.776
0.4247999999999998,59,-1838.675
0.4319999999999998,60,-1872.507
0.43919999999999976,61,-1899.729
0.44639999999999974,62,-1932.245
0.4535999999999997,63,-1959.121
0.4607999999999997,64,-1987.295
0.4679999999999997,65,-2017.711
0.4751999999999997,66,-2051.476
0.48239999999999966,67,-2075.254
0.48959999999999965,68,-2106.583
0.49679999999999963,69,-2141.343
0.5039999999999997,70,-2166.711
0.5111999999999997,71,-2186.917
0.5183999999999996,72,-2223.733
0.5255999999999996,73,-2250.18
0.5327999999999996,74,-2271.855
0.5399999999999996,75,-2298.352
0.5471999999999996,76,-2327.643
0.5543999999999996,77,-2348.13
0.5615999999999995,78,-2372.415
0.5687999999999995,79,-2400.217
0.5759999999999995,80,-2419.771
0.5831999999999995,81,-2438.648
0.5903999999999995,82,-2465.489
0.5975999999999995,83,-2485.309
0.6047999999999994,84,-2504.05
0.6119999999999994,85,-2526.607
0.6191999999999994,86,-2539.122
0.6263999999999994,87,-2559.303
0.6335999999999994,88,-2570.768
0.6407999999999994,89,-2589.395
0.6479999999999994,90,-2598.226
0.6551999999999993,91,-2610.217
0.6623999999999993,92,-2616.056
0.6695999999999993,93,-2622.973
0.6767999999999993,94,-2626.264
0.6839999999999993,95,-2625.359
0.6911999999999993,96,-2623.28
0.6983999999999992,97,-2614.636
0.7055999999999992,98,-2606.127
0.7127999999999992,99,-2587.99
0.7199999999999992,100,-2566.508
0.7271999999999992,101,-2540.176
0.7343999999999992,102,-2506.012
0.7415999999999991,103,-2463.972
0.7487999999999991,104,-2412.248
0.7559999999999991,105,-2352.219
0.7631999999999991,106,-2278.676
0.7703999999999991,107,-2196.227
0.7775999999999991,108,-2097.839
0.784799999999999,109,-1985.252
0.791999999999999,110,-1855.934
0.799199999999999,111,-1707.252
0.806399999999999,112,-1540.398
0.813599999999999,113,-1349.291
0.820799999999999,114,-1134.785
0.827999999999999,115,-891.757
0.8351999999999989,116,-621.248
0.8423999999999989,117,-317.363
0.8495999999999989,118,17.847
0.8567999999999989,119,387.229
