Time (seconds),Time (steps),Velocity (rad/s)
0,0,1.083
0.0072,1,1.09
0.0144,2,1.1
0.0216,3,1.111
0.0288,4,1.121
0.036,5,1.133
0.043199999999999995,6,1.14
0.05039999999999999,7,1.151
0.05759999999999999,8,1.159
0.0648,9,1.171
0.072,10,1.179
0.07919999999999999,11,1.19
0.08639999999999999,12,1.198
0.09359999999999999,13,1.21
0.10079999999999999,14,1.217
0.10799999999999998,15,1.228
0.11519999999999998,16,1.238
0.12239999999999998,17,1.245
0.1296,18,1.255
0.1368,19,1.265
0.14400000000000002,20,1.274
0.15120000000000003,21,1.283
0.15840000000000004,22,1.292
0.16560000000000005,23,1.3
0.17280000000000006,24,1.307
0.18000000000000008,25,1.318
0.1872000000000001,26,1.323
0.1944000000000001,27,1.332
0.2016000000000001,28,1.34
0.20880000000000012,29,1.35
0.21600000000000014,30,1.358
0.22320000000000015,31,1.363
0.23040000000000016,32,1.374
0.23760000000000017,33,1.379
0.24480000000000018,34,1.389
0.25200000000000017,35,1.393
0.25920000000000015,36,1.402
0.26640000000000014,37,1.408
0.2736000000000001,38,1.414
0.2808000000000001,39,1.421
0.2880000000000001,40,1.431
0.2952000000000001,41,1.433
0.30240000000000006,42,1.443
0.30960000000000004,43,1.446
0.3168,44,1.456
0.324,45,1.46
0.3312,46,1.464
0.3384,47,1.47
0.34559999999999996,48,1.475
0.35279999999999995,49,1.481
0.35999999999999993,50,1.488
0.3671999999999999,51,1.489
0.3743999999999999,52,1.494
0.3815999999999999,53,1.498
0.38879999999999987,54,1.501
0.39599999999999985,55,1.504
0.40319999999999984,56,1.508
0.4103999999999998,57,1.511
0.4175999999999998,58,1.513
0.4247999999999998,59,1.515
0.4319999999999998,60,1.518
0.43919999999999976,61,1.519
0.44639999999999974,62,1.521
0.4535999999999997,63,1.521
0.4607999999999997,64,1.52
0.4679999999999997,65,1.521
0.4751999999999997,66,1.522
0.48239999999999966,67,1.519
0.48959999999999965,68,1.52
0.49679999999999963,69,1.521
0.5039999999999997,70,1.517
0.5111999999999997,71,1.511
0.5183999999999996,72,1.513
0.5255999999999996,73,1.509
0.5327999999999996,74,1.502
0.5399999999999996,75,1.497
0.5471999999999996,76,1.494
0.5543999999999996,77,1.485
0.5615999999999995,78,1.478
0.5687999999999995,79,1.472
0.5759999999999995,80,1.461
0.5831999999999995,81,1.45
0.5903999999999995,82,1.443
0.5975999999999995,83,1.431
0.6047999999999994,84,1.418
0.6119999999999994,85,1.407
