Time (seconds),Time (steps),Velocity (rad/s)
0,0,1.347
0.0072,1,1.356
0.0144,2,1.367
0.0216,3,1.377
0.0288,4,1.388
0.036,5,1.399
0.043199999999999995,6,1.408
0.05039999999999999,7,1.418
0.05759999999999999,8,1.427
0.0648,9,1.437
0.072,10,1.446
0.07919999999999999,11,1.456
0.08639999999999999,12,1.464
0.09359999999999999,13,1.474
0.10079999999999999,14,1.482
0.10799999999999998,15,1.491
0.11519999999999998,16,1.5
0.12239999999999998,17,1.507
0.1296,18,1.515
0.1368,19,1.524
0.14400000000000002,20,1.532
0.15120000000000003,21,1.539
0.15840000000000004,22,1.546
0.16560000000000005,23,1.553
0.17280000000000006,24,1.56
0.18000000000000008,25,1.567
0.1872000000000001,26,1.573
0.1944000000000001,27,1.579
0.2016000000000001,28,1.585
0.20880000000000012,29,1.592
0.21600000000000014,30,1.598
0.22320000000000015,31,1.602
0.23040000000000016,32,1.609
0.23760000000000017,33,1.613
0.24480000000000018,34,1.619
0.25200000000000017,35,1.623
0.25920000000000015,36,1.628
0.26640000000000014,37,1.632
0.2736000000000001,38,1.636
0.2808000000000001,39,1.639
0.2880000000000001,40,1.644
0.2952000000000001,41,1.646
0.30240000000000006,42,1.65
0.30960000000000004,43,1.652
0.3168,44,1.656
0.324,45,1.658
0.3312,46,1.66
0.3384,47,1.662
0.34559999999999996,48,1.664
0.35279999999999995,49,1.665
0.35999999999999993,50,1.667
0.3671999999999999,51,1.666
0.3743999999999999,52,1.667
0.3815999999999999,53,1.668
0.38879999999999987,54,1.667
0.39599999999999985,55,1.667
0.40319999999999984,56,1.666
0.4103999999999998,57,1.665
0.4175999999999998,58,1.663
0.4247999999999998,59,1.662
0.4319999999999998,60,1.66
0.43919999999999976,61,1.657
0.44639999999999974,62,1.654
0.4535999999999997,63,1.651
0.4607999999999997,64,1.647
0.4679999999999997,65,1.643
0.4751999999999997,66,1.638
0.48239999999999966,67,1.633
0.48959999999999965,68,1.628
0.49679999999999963,69,1.622
0.5039999999999997,70,1.616
0.5111999999999997,71,1.608
0.5183999999999996,72,1.601
0.5255999999999996,73,1.593
0.5327999999999996,74,1.584
0.5399999999999996,75,1.575
0.5471999999999996,76,1.566
0.5543999999999996,77,1.555
0.5615999999999995,78,1.543
0.5687999999999995,79,1.532
0.5759999999999995,80,1.519
0.5831999999999995,81,1.505
0.5903999999999995,82,1.492
0.5975999999999995,83,1.477
0.6047999999999994,84,1.461
0.6119999999999994,85,1.445
0.6191999999999994,86,1.427
