Time (seconds),Time (steps),Force (N), X-comp,Y-comp
0,0,411.161,-405.291,-69.227
0.0072,1,407.276,-401.544,-68.091
0.0144,2,416.82,-410.739,-70.94
0.0216,3,427.801,-421.285,-74.378
0.0288,4,440.086,-433.027,-78.508
0.036,5,455.221,-447.428,-83.875
0.043199999999999995,6,456.964,-449.075,-84.541
0.05039999999999999,7,471.52,-462.825,-90.131
0.05759999999999999,8,476.26,-467.293,-91.985
0.0648,9,492.132,-482.14,-98.665
0.072,10,497.244,-486.91,-100.848
0.07919999999999999,11,513.863,-502.295,-108.423
0.08639999999999999,12,518.259,-506.347,-110.476
0.09359999999999999,13,537.676,-524.092,-120.093
0.10079999999999999,14,539.263,-525.54,-120.882
0.10799999999999998,15,555.978,-540.64,-129.695
0.11519999999999998,16,569.252,-552.51,-137.043
0.12239999999999998,17,571.395,-554.407,-138.294
0.1296,18,585.149,-566.575,-146.262
0.1368,19,600.674,-580.121,-155.787
0.14400000000000002,20,611.245,-589.249,-162.5
0.15120000000000003,21,621.759,-598.242,-169.385
0.15840000000000004,22,632.279,-607.144,-176.502
0.16560000000000005,23,639.735,-613.426,-181.575
0.17280000000000006,24,647.128,-619.571,-186.832
0.18000000000000008,25,663.793,-633.249,-199.04
0.1872000000000001,26,665.556,-634.689,-200.335
0.1944000000000001,27,679.847,-646.174,-211.311
0.2016000000000001,28,690.402,-654.525,-219.661
0.20880000000000012,29,703.954,-665.087,-230.673
0.21600000000000014,30,715.809,-674.134,-240.677
0.22320000000000015,31,718.966,-676.499,-243.438
0.23040000000000016,32,736.403,-689.39,-258.903
0.23760000000000017,33,741.341,-693.008,-263.299
0.24480000000000018,34,756.773,-704.012,-277.619
0.25200000000000017,35,760.112,-706.33,-280.837
0.25920000000000015,36,773.037,-715.19,-293.41
0.26640000000000014,37,779.962,-719.857,-300.246
0.2736000000000001,38,788.818,-725.665,-309.265
0.2808000000000001,39,798.891,-732.133,-319.702
0.2880000000000001,40,816.201,-742.799,-338.281
0.2952000000000001,41,817.62,-743.669,-339.794
0.30240000000000006,42,833.337,-752.793,-357.425
0.30960000000000004,43,837.784,-755.302,-362.493
0.3168,44,854.238,-764.162,-381.81
0.324,45,860.888,-767.559,-389.848
0.3312,46,866.536,-770.372,-396.752
0.3384,47,877.845,-775.73,-410.919
0.34559999999999996,48,886.465,-779.569,-422.011
0.35279999999999995,49,897.482,-784.192,-436.482
0.35999999999999993,50,908.31,-788.405,-451.049
0.3671999999999999,51,910.931,-789.375,-454.625
0.3743999999999999,52,921.904,-793.155,-469.906
0.3815999999999999,53,930.048,-795.679,-481.543
0.38879999999999987,54,937.513,-797.785,-492.411
0.39599999999999985,55,944.797,-799.654,-503.185
0.40319999999999984,56,953.465,-801.552,-516.343
0.4103999999999998,57,961.929,-803.133,-529.42
0.4175999999999998,58,968.015,-804.031,-539.062
0.4247999999999998,59,975.65,-804.956,-551.306
0.4319999999999998,60,984.96,-805.66,-566.62
0.43919999999999976,61,990.456,-805.765,-575.974
0.44639999999999974,62,998.82,-805.703,-590.325
0.4535999999999997,63,1003.994,-805.476,-599.344
0.4607999999999997,64,1009.986,-804.922,-610.059
0.4679999999999997,65,1017.26,-803.998,-623.221
0.4751999999999997,66,1026.372,-802.175,-640.278
0.48239999999999966,67,1029.774,-801.365,-646.721
0.48959999999999965,68,1037.454,-799.045,-661.693
0.49679999999999963,69,1047.013,-795.321,-680.956
0.5039999999999997,70,1051.439,-793.404,-689.952
0.5111999999999997,71,1052.963,-792.694,-693.085
0.5183999999999996,72,1063.627,-786.587,-715.95
0.5255999999999996,73,1068.808,-783.17,-727.321
0.5327999999999996,74,1071.349,-781.383,-732.96
0.5399999999999996,75,1076.54,-777.282,-744.829
0.5471999999999996,76,1083.245,-771.167,-760.737
0.5543999999999996,77,1085.447,-769.048,-766.002
0.5615999999999995,78,1089.781,-764.54,-776.597
0.5687999999999995,79,1096.102,-757.062,-792.652
0.5759999999999995,80,1098.223,-754.422,-798.086
0.5831999999999995,81,1100.078,-751.919,-802.988
0.5903999999999995,82,1106.427,-742.505,-820.285
0.5975999999999995,83,1109.331,-737.682,-828.518
0.6047999999999994,84,1111.862,-733.23,-835.83
0.6119999999999994,85,1117.024,-723.367,-851.165
0.6191999999999994,86,1117.004,-723.451,-851.067
0.6263999999999994,87,1121.81,-712.798,-866.243
0.6335999999999994,88,1122.337,-711.667,-867.853
0.6407999999999994,89,1127.633,-697.965,-885.664
0.6479999999999994,90,1128.11,-696.505,-887.42
0.6551999999999993,91,1130.899,-688.019,-897.531
0.6623999999999993,92,1132.086,-684.101,-902.011
0.6695999999999993,93,1134.299,-676.394,-910.564
0.6767999999999993,94,1136.087,-669.674,-917.731
0.6839999999999993,95,1137.189,-665.197,-922.34
0.6911999999999993,96,1139.514,-654.889,-932.53
0.6983999999999992,97,1139.912,-652.67,-934.57
0.7055999999999992,98,1142.732,-637.344,-948.488
0.7127999999999992,99,1142.508,-638.734,-947.282
0.7199999999999992,100,1143.539,-632.247,-952.861
0.7271999999999992,101,1145.469,-618.083,-964.403
0.7343999999999992,102,1146.175,-611.733,-969.277
0.7415999999999991,103,1146.816,-605.762,-973.776
0.7487999999999991,104,1147.405,-600.121,-977.953
0.7559999999999991,105,1147.833,-594.456,-981.908
0.7631999999999991,106,1148.264,-589.465,-985.414
0.7703999999999991,107,1148.555,-584.118,-988.931
0.7775999999999991,108,1148.561,-584.582,-988.664
0.784799999999999,109,1148.751,-581.649,-990.613
0.791999999999999,110,1149.228,-571.17,-997.241
0.799199999999999,111,1149.054,-575.636,-994.468
0.806399999999999,112,1149.253,-571.537,-997.059
0.813599999999999,113,1149.302,-569.701,-998.166
0.820799999999999,114,1149.481,-564.086,-1001.556
0.827999999999999,115,1149.687,-557.705,-1005.359
0.8351999999999989,116,1149.539,-563.003,-1002.231
0.8423999999999989,117,1149.558,-562.078,-1002.773
0.8495999999999989,118,1149.696,-555.653,-1006.504
0.8567999999999989,119,1149.562,-562.547,-1002.513
0.8639999999999989,120,1149.472,-564.726,-1001.184
0.8711999999999989,121,1149.516,-563.459,-1001.948
0.8783999999999988,122,1149.314,-569.176,-998.48
0.8855999999999988,123,1149.209,-572.024,-996.729
0.8927999999999988,124,1148.902,-577.939,-992.957
0.8999999999999988,125,1148.854,-578.995,-992.285
0.9071999999999988,126,1148.59,-584.026,-989.026
0.9143999999999988,127,1148.551,-584.356,-988.786
0.9215999999999988,128,1148.101,-591.019,-984.293
0.9287999999999987,129,1146.86,-605.505,-973.987
0.9359999999999987,130,1146.179,-612.358,-968.888
0.9431999999999987,131,1145.019,-621.983,-961.357
0.9503999999999987,132,1143.887,-630.093,-954.705
0.9575999999999987,133,1141.809,-642.661,-943.777
0.9647999999999987,134,1140.767,-648.404,-938.574
0.9719999999999986,135,1137.62,-663.458,-924.123
0.9791999999999986,136,1134.871,-674.304,-912.824
0.9863999999999986,137,1132.048,-684.336,-901.785
0.9935999999999986,138,1127.829,-697.334,-886.41
1.0007999999999986,139,1125.055,-704.868,-876.876
1.0079999999999987,140,1119.829,-717.371,-859.882
1.0151999999999988,141,1115.213,-727.11,-845.584
1.0223999999999989,142,1109.87,-736.735,-830.081
1.029599999999999,143,1101.353,-750.167,-806.366
1.036799999999999,144,1095.636,-757.625,-791.468
1.0439999999999992,145,1083.668,-770.867,-761.642
1.0511999999999992,146,1078.266,-775.806,-748.855
1.0583999999999993,147,1068.304,-783.535,-726.186
1.0655999999999994,148,1054.242,-792.062,-695.748
1.0727999999999995,149,1042.764,-797.134,-672.261
1.0799999999999996,150,1028.357,-801.703,-644.042
1.0871999999999997,151,1016.332,-804.141,-621.521
1.0943999999999998,152,1005.525,-805.379,-602.035
1.1016,153,986.676,-805.718,-569.516
1.1088,154,972.368,-804.601,-546.001
1.116,155,958.805,-802.554,-524.608
1.1232000000000002,156,936.012,-797.4,-490.175
1.1304000000000003,157,921.019,-792.874,-468.645
1.1376000000000004,158,904.581,-787.005,-445.971
1.1448000000000005,159,887.919,-780.221,-423.858
1.1520000000000006,160,869.04,-771.554,-399.918
1.1592000000000007,161,849.175,-761.5,-375.786
1.1664000000000008,162,833.58,-752.929,-357.706
1.1736000000000009,163,812.071,-740.314,-333.758
1.180800000000001,164,787.197,-724.618,-307.583
1.188000000000001,165,767.946,-711.737,-288.395
1.1952000000000012,166,750.649,-699.681,-271.884
1.2024000000000012,167,726.822,-682.38,-250.254
1.2096000000000013,168,709.577,-669.391,-235.403
1.2168000000000014,169,686.256,-651.257,-216.359
1.2240000000000015,170,671.019,-639.113,-204.45
