Time (seconds),Time (steps),Force (N), X-comp,Y-comp
0,0,415.002,-405.291,89.248
0.0072,1,411.591,-401.544,90.384
0.0144,2,419.963,-410.739,87.536
0.0216,3,429.597,-421.285,84.098
0.0288,4,440.349,-433.027,79.968
0.036,5,453.604,-447.428,74.601
0.043199999999999995,6,455.121,-449.075,73.934
0.05039999999999999,7,467.844,-462.825,68.344
0.05759999999999999,8,472,-467.293,66.491
0.0648,9,485.836,-482.14,59.81
0.072,10,490.308,-486.91,57.628
0.07919999999999999,11,504.782,-502.295,50.053
0.08639999999999999,12,508.617,-506.347,47.999
0.09359999999999999,13,525.496,-524.092,38.383
0.10079999999999999,14,526.883,-525.54,37.593
0.10799999999999998,15,541.405,-540.64,28.78
0.11519999999999998,16,552.926,-552.51,21.433
0.12239999999999998,17,554.775,-554.407,20.182
0.1296,18,566.706,-566.575,12.213
0.1368,19,580.127,-580.121,2.689
0.14400000000000002,20,589.263,-589.249,-4.024
0.15120000000000003,21,598.341,-598.242,-10.909
0.15840000000000004,22,607.412,-607.144,-18.026
0.16560000000000005,23,613.861,-613.426,-23.1
0.17280000000000006,24,620.22,-619.571,-28.357
0.18000000000000008,25,634.547,-633.249,-40.564
0.1872000000000001,26,636.068,-634.689,-41.859
0.1944000000000001,27,648.33,-646.174,-52.835
0.2016000000000001,28,657.379,-654.525,-61.185
0.20880000000000012,29,668.994,-665.087,-72.197
0.21600000000000014,30,679.128,-674.134,-82.201
0.22320000000000015,31,681.813,-676.499,-84.963
0.23040000000000016,32,696.667,-689.39,-100.428
0.23760000000000017,33,700.891,-693.008,-104.823
0.24480000000000018,34,714.022,-704.012,-119.143
0.25200000000000017,35,716.85,-706.33,-122.361
0.25920000000000015,36,727.808,-715.19,-134.934
0.26640000000000014,37,733.684,-719.857,-141.77
0.2736000000000001,38,741.166,-725.665,-150.79
0.2808000000000001,39,749.675,-732.133,-161.226
0.2880000000000001,40,764.252,-742.799,-179.806
0.2952000000000001,41,765.454,-743.669,-181.318
0.30240000000000006,42,778.639,-752.793,-198.95
0.30960000000000004,43,782.371,-755.302,-204.017
0.3168,44,796.129,-764.162,-223.335
0.324,45,801.673,-767.559,-231.372
0.3312,46,806.38,-770.372,-238.277
0.3384,47,815.772,-775.73,-252.444
0.34559999999999996,48,822.908,-779.569,-263.535
0.35279999999999995,49,832.012,-784.192,-278.006
0.35999999999999993,50,840.941,-788.405,-292.574
0.3671999999999999,51,843.099,-789.375,-296.149
0.3743999999999999,52,852.106,-793.155,-311.431
0.3815999999999999,53,858.765,-795.679,-323.068
0.38879999999999987,54,864.855,-797.785,-333.935
0.39599999999999985,55,870.788,-799.654,-344.709
0.40319999999999984,56,877.813,-801.552,-357.867
0.4103999999999998,57,884.659,-803.133,-370.944
0.4175999999999998,58,889.557,-804.031,-380.586
0.4247999999999998,59,895.696,-804.956,-392.83
0.4319999999999998,60,903.144,-805.66,-408.145
0.43919999999999976,61,907.503,-805.765,-417.499
0.44639999999999974,62,914.14,-805.703,-431.85
0.4535999999999997,63,918.235,-805.476,-440.868
0.4607999999999997,64,922.945,-804.922,-451.583
0.4679999999999997,65,928.655,-803.998,-464.745
0.4751999999999997,66,935.745,-802.175,-481.802
0.48239999999999966,67,938.387,-801.365,-488.246
0.48959999999999965,68,944.299,-799.045,-503.218
0.49679999999999963,69,951.588,-795.321,-522.48
0.5039999999999997,70,954.965,-793.404,-531.476
0.5111999999999997,71,956.123,-792.694,-534.609
0.5183999999999996,72,964.104,-786.587,-557.474
0.5255999999999996,73,967.957,-783.17,-568.846
0.5327999999999996,74,969.841,-781.383,-574.484
0.5399999999999996,75,973.642,-777.282,-586.354
0.5471999999999996,76,978.477,-771.167,-602.261
0.5543999999999996,77,980.063,-769.048,-607.527
0.5615999999999995,78,983.156,-764.54,-618.121
0.5687999999999995,79,987.584,-757.062,-634.177
0.5759999999999995,80,989.067,-754.422,-639.611
0.5831999999999995,81,990.343,-751.919,-644.512
0.5903999999999995,82,994.638,-742.505,-661.809
0.5975999999999995,83,996.56,-737.682,-670.042
0.6047999999999994,84,998.216,-733.23,-677.354
0.6119999999999994,85,1001.538,-723.367,-692.689
0.6191999999999994,86,1001.531,-723.451,-692.592
0.6263999999999994,87,1004.498,-712.798,-707.768
0.6335999999999994,88,1004.832,-711.667,-709.378
0.6407999999999994,89,1007.947,-697.965,-727.189
0.6479999999999994,90,1008.206,-696.505,-728.944
0.6551999999999993,91,1009.74,-688.019,-739.056
0.6623999999999993,92,1010.366,-684.101,-743.536
0.6695999999999993,93,1011.506,-676.394,-752.088
0.6767999999999993,94,1012.39,-669.674,-759.256
0.6839999999999993,95,1012.905,-665.197,-763.865
0.6911999999999993,96,1013.923,-654.889,-774.055
0.6983999999999992,97,1014.052,-652.67,-776.095
0.7055999999999992,98,1015.05,-637.344,-790.013
0.7127999999999992,99,1014.986,-638.734,-788.806
0.7199999999999992,100,1015.276,-632.247,-794.386
0.7271999999999992,101,1015.651,-618.083,-805.927
0.7343999999999992,102,1015.686,-611.733,-810.802
0.7415999999999991,103,1015.707,-605.762,-815.3
0.7487999999999991,104,1015.721,-600.121,-819.478
0.7559999999999991,105,1015.588,-594.456,-823.432
0.7631999999999991,106,1015.528,-589.465,-826.939
0.7703999999999991,107,1015.308,-584.118,-830.456
0.7775999999999991,108,1015.357,-584.582,-830.189
0.784799999999999,109,1015.267,-581.649,-832.137
0.791999999999999,110,1014.772,-571.17,-838.766
0.799199999999999,111,1015.008,-575.636,-835.993
0.806399999999999,112,1014.829,-571.537,-838.584
0.813599999999999,113,1014.712,-569.701,-839.69
0.820799999999999,114,1014.385,-564.086,-843.08
0.827999999999999,115,1014.024,-557.705,-846.883
0.8351999999999989,116,1014.345,-563.003,-843.756
0.8423999999999989,117,1014.283,-562.078,-844.297
0.8495999999999989,118,1013.855,-555.653,-848.029
0.8567999999999989,119,1014.327,-562.547,-844.038
0.8639999999999989,120,1014.433,-564.726,-842.708
0.8711999999999989,121,1014.363,-563.459,-843.473
0.8783999999999988,122,1014.677,-569.176,-840.005
0.8855999999999988,123,1014.831,-572.024,-838.254
0.8927999999999988,124,1015.072,-577.939,-834.481
0.8999999999999988,125,1015.123,-578.995,-833.81
0.9071999999999988,126,1015.333,-584.026,-830.551
0.9143999999999988,127,1015.326,-584.356,-830.31
0.9215999999999988,128,1015.518,-591.019,-825.817
0.9287999999999987,129,1015.724,-605.505,-815.512
0.9359999999999987,130,1015.751,-612.358,-810.412
0.9431999999999987,131,1015.619,-621.983,-802.881
0.9503999999999987,132,1015.381,-630.093,-796.229
0.9575999999999987,133,1014.747,-642.661,-785.301
0.9647999999999987,134,1014.387,-648.404,-780.099
0.9719999999999986,135,1013.11,-663.458,-765.648
0.9791999999999986,136,1011.794,-674.304,-754.348
0.9863999999999986,137,1010.359,-684.336,-743.31
0.9935999999999986,138,1008.05,-697.334,-727.934
1.0007999999999986,139,1006.448,-704.868,-718.4
1.0079999999999987,140,1003.29,-717.371,-701.406
1.0151999999999988,141,1000.403,-727.11,-687.108
1.0223999999999989,142,996.911,-736.735,-671.605
1.029599999999999,143,991.218,-750.167,-647.891
1.036799999999999,144,987.256,-757.625,-632.993
1.0439999999999992,145,978.799,-770.867,-603.167
1.0511999999999992,146,974.896,-775.806,-590.379
1.0583999999999993,147,967.586,-783.535,-567.71
1.0655999999999994,148,957.091,-792.062,-537.272
1.0727999999999995,149,948.366,-797.134,-513.786
1.0799999999999996,150,937.285,-801.703,-485.567
1.0871999999999997,151,927.93,-804.141,-463.046
1.0943999999999998,152,919.446,-805.379,-443.559
1.1016,153,904.508,-805.718,-411.04
1.1088,154,893.061,-804.601,-387.526
1.116,155,882.126,-802.554,-366.132
1.1232000000000002,156,863.639,-797.4,-331.7
1.1304000000000003,157,851.383,-792.874,-310.169
1.1376000000000004,158,837.872,-787.005,-287.495
1.1448000000000005,159,824.12,-780.221,-265.382
1.1520000000000006,160,808.449,-771.554,-241.443
1.1592000000000007,161,791.901,-761.5,-217.31
1.1664000000000008,162,778.842,-752.929,-199.23
1.1736000000000009,163,760.782,-740.314,-175.283
1.180800000000001,164,739.8,-724.618,-149.108
1.188000000000001,165,723.497,-711.737,-129.92
1.1952000000000012,166,708.812,-699.681,-113.408
