Time (seconds),Time (steps),Velocity (m/s), X-comp,Y-comp
0,0,1.388,-1.224,0.654
0.0072,1,1.388,-1.235,0.633
0.0144,2,1.388,-1.246,0.611
0.0216,3,1.388,-1.257,0.59
0.0288,4,1.388,-1.267,0.567
0.036,5,1.388,-1.277,0.545
0.043199999999999995,6,1.388,-1.286,0.523
0.05039999999999999,7,1.388,-1.295,0.5
0.05759999999999999,8,1.388,-1.303,0.478
0.0648,9,1.388,-1.312,0.455
0.072,10,1.388,-1.319,0.432
0.07919999999999999,11,1.388,-1.327,0.409
0.08639999999999999,12,1.388,-1.333,0.385
0.09359999999999999,13,1.388,-1.34,0.362
0.10079999999999999,14,1.388,-1.346,0.339
0.10799999999999998,15,1.388,-1.352,0.315
0.11519999999999998,16,1.388,-1.357,0.291
0.12239999999999998,17,1.388,-1.362,0.268
0.1296,18,1.388,-1.366,0.244
0.1368,19,1.388,-1.371,0.22
0.14400000000000002,20,1.388,-1.374,0.196
0.15120000000000003,21,1.388,-1.377,0.172
0.15840000000000004,22,1.388,-1.38,0.148
0.16560000000000005,23,1.388,-1.383,0.124
0.17280000000000006,24,1.388,-1.385,0.1
0.18000000000000008,25,1.388,-1.386,0.076
0.1872000000000001,26,1.388,-1.387,0.051
0.1944000000000001,27,1.388,-1.388,0.027
0.2016000000000001,28,1.388,-1.388,0.003
0.20880000000000012,29,1.388,-1.388,-0.021
0.21600000000000014,30,1.388,-1.387,-0.046
0.22320000000000015,31,1.388,-1.386,-0.07
0.23040000000000016,32,1.388,-1.385,-0.094
0.23760000000000017,33,1.388,-1.383,-0.118
0.24480000000000018,34,1.388,-1.381,-0.142
0.25200000000000017,35,1.388,-1.378,-0.166
0.25920000000000015,36,1.388,-1.375,-0.19
0.26640000000000014,37,1.388,-1.372,-0.214
0.2736000000000001,38,1.388,-1.368,-0.238
0.2808000000000001,39,1.388,-1.363,-0.262
0.2880000000000001,40,1.388,-1.358,-0.286
0.2952000000000001,41,1.388,-1.353,-0.31
0.30240000000000006,42,1.388,-1.348,-0.333
0.30960000000000004,43,1.388,-1.341,-0.357
0.3168,44,1.388,-1.335,-0.38
0.324,45,1.388,-1.328,-0.403
0.3312,46,1.388,-1.321,-0.426
0.3384,47,1.388,-1.313,-0.449
0.34559999999999996,48,1.388,-1.305,-0.472
0.35279999999999995,49,1.388,-1.297,-0.495
0.35999999999999993,50,1.388,-1.288,-0.517
0.3671999999999999,51,1.388,-1.279,-0.54
0.3743999999999999,52,1.388,-1.269,-0.562
0.3815999999999999,53,1.388,-1.259,-0.584
0.38879999999999987,54,1.388,-1.249,-0.606
0.39599999999999985,55,1.388,-1.238,-0.628
0.40319999999999984,56,1.388,-1.227,-0.649
0.4103999999999998,57,1.388,-1.215,-0.67
0.4175999999999998,58,1.388,-1.204,-0.692
0.4247999999999998,59,1.388,-1.191,-0.712
0.4319999999999998,60,1.388,-1.179,-0.733
0.43919999999999976,61,1.388,-1.166,-0.753
0.44639999999999974,62,1.388,-1.152,-0.774
0.4535999999999997,63,1.388,-1.139,-0.794
0.4607999999999997,64,1.388,-1.125,-0.814
0.4679999999999997,65,1.388,-1.11,-0.833
0.4751999999999997,66,1.388,-1.096,-0.852
0.48239999999999966,67,1.388,-1.081,-0.871
0.48959999999999965,68,1.388,-1.065,-0.89
0.49679999999999963,69,1.388,-1.05,-0.908
0.5039999999999997,70,1.388,-1.034,-0.926
0.5111999999999997,71,1.388,-1.017,-0.944
0.5183999999999996,72,1.388,-1.001,-0.962
0.5255999999999996,73,1.388,-0.984,-0.979
0.5327999999999996,74,1.388,-0.966,-0.996
0.5399999999999996,75,1.388,-0.949,-1.013
0.5471999999999996,76,1.388,-0.931,-1.03
0.5543999999999996,77,1.388,-0.913,-1.046
0.5615999999999995,78,1.388,-0.895,-1.061
0.5687999999999995,79,1.388,-0.876,-1.077
