Time (seconds),Time (steps),Velocity (m/s), X-comp,Y-comp
0,0,1.247,-1.246,-0.038
0.0072,1,1.256,-1.255,-0.05
0.0144,2,1.264,-1.263,-0.062
0.0216,3,1.273,-1.271,-0.074
0.0288,4,1.282,-1.279,-0.087
0.036,5,1.29,-1.286,-0.1
0.043199999999999995,6,1.298,-1.293,-0.112
0.05039999999999999,7,1.306,-1.3,-0.126
0.05759999999999999,8,1.314,-1.307,-0.139
0.0648,9,1.322,-1.313,-0.152
0.072,10,1.329,-1.319,-0.166
0.07919999999999999,11,1.336,-1.324,-0.18
0.08639999999999999,12,1.344,-1.329,-0.194
0.09359999999999999,13,1.35,-1.334,-0.208
0.10079999999999999,14,1.357,-1.339,-0.223
0.10799999999999998,15,1.364,-1.343,-0.237
0.11519999999999998,16,1.371,-1.347,-0.252
0.12239999999999998,17,1.377,-1.351,-0.267
0.1296,18,1.383,-1.354,-0.282
0.1368,19,1.389,-1.357,-0.297
0.14400000000000002,20,1.395,-1.359,-0.312
0.15120000000000003,21,1.4,-1.362,-0.327
0.15840000000000004,22,1.406,-1.363,-0.342
0.16560000000000005,23,1.411,-1.365,-0.358
0.17280000000000006,24,1.416,-1.366,-0.373
0.18000000000000008,25,1.421,-1.367,-0.389
0.1872000000000001,26,1.426,-1.367,-0.405
0.1944000000000001,27,1.43,-1.367,-0.42
0.2016000000000001,28,1.435,-1.367,-0.436
0.20880000000000012,29,1.439,-1.366,-0.452
0.21600000000000014,30,1.443,-1.365,-0.467
0.22320000000000015,31,1.447,-1.364,-0.483
0.23040000000000016,32,1.45,-1.362,-0.499
0.23760000000000017,33,1.454,-1.36,-0.515
0.24480000000000018,34,1.457,-1.357,-0.53
0.25200000000000017,35,1.46,-1.354,-0.546
0.25920000000000015,36,1.463,-1.351,-0.561
0.26640000000000014,37,1.466,-1.347,-0.577
0.2736000000000001,38,1.468,-1.343,-0.593
0.2808000000000001,39,1.47,-1.339,-0.608
0.2880000000000001,40,1.472,-1.334,-0.623
0.2952000000000001,41,1.474,-1.329,-0.638
0.30240000000000006,42,1.476,-1.323,-0.653
0.30960000000000004,43,1.477,-1.317,-0.668
0.3168,44,1.479,-1.311,-0.683
0.324,45,1.48,-1.305,-0.698
0.3312,46,1.48,-1.298,-0.712
0.3384,47,1.481,-1.29,-0.727
0.34559999999999996,48,1.481,-1.283,-0.741
0.35279999999999995,49,1.481,-1.274,-0.755
0.35999999999999993,50,1.481,-1.266,-0.769
0.3671999999999999,51,1.481,-1.257,-0.782
0.3743999999999999,52,1.48,-1.248,-0.795
0.3815999999999999,53,1.479,-1.239,-0.808
0.38879999999999987,54,1.478,-1.229,-0.821
0.39599999999999985,55,1.477,-1.219,-0.834
0.40319999999999984,56,1.475,-1.208,-0.846
0.4103999999999998,57,1.473,-1.198,-0.858
0.4175999999999998,58,1.471,-1.186,-0.869
0.4247999999999998,59,1.468,-1.175,-0.881
0.4319999999999998,60,1.466,-1.163,-0.892
0.43919999999999976,61,1.462,-1.151,-0.902
0.44639999999999974,62,1.459,-1.139,-0.912
0.4535999999999997,63,1.455,-1.126,-0.922
0.4607999999999997,64,1.451,-1.113,-0.931
0.4679999999999997,65,1.447,-1.1,-0.94
0.4751999999999997,66,1.442,-1.086,-0.948
0.48239999999999966,67,1.437,-1.072,-0.956
0.48959999999999965,68,1.431,-1.058,-0.964
0.49679999999999963,69,1.425,-1.043,-0.971
0.5039999999999997,70,1.419,-1.028,-0.977
0.5111999999999997,71,1.412,-1.013,-0.983
0.5183999999999996,72,1.405,-0.998,-0.989
0.5255999999999996,73,1.397,-0.982,-0.993
0.5327999999999996,74,1.389,-0.966,-0.997
0.5399999999999996,75,1.38,-0.95,-1.001
0.5471999999999996,76,1.371,-0.934,-1.004
0.5543999999999996,77,1.361,-0.917,-1.006
0.5615999999999995,78,1.351,-0.9,-1.007
0.5687999999999995,79,1.34,-0.883,-1.008
0.5759999999999995,80,1.329,-0.866,-1.008
0.5831999999999995,81,1.317,-0.848,-1.007
0.5903999999999995,82,1.304,-0.83,-1.005
0.5975999999999995,83,1.29,-0.812,-1.003
0.6047999999999994,84,1.276,-0.794,-0.999
0.6119999999999994,85,1.262,-0.776,-0.995
0.6191999999999994,86,1.246,-0.757,-0.99
0.6263999999999994,87,1.229,-0.738,-0.983
0.6335999999999994,88,1.212,-0.719,-0.976
0.6407999999999994,89,1.193,-0.699,-0.967
0.6479999999999994,90,1.174,-0.68,-0.957
0.6551999999999993,91,1.154,-0.66,-0.947
0.6623999999999993,92,1.132,-0.64,-0.934
0.6695999999999993,93,1.11,-0.62,-0.921
0.6767999999999993,94,1.087,-0.599,-0.906
0.6839999999999993,95,1.062,-0.578,-0.89
0.6911999999999993,96,1.036,-0.558,-0.873
0.6983999999999992,97,1.008,-0.536,-0.854
0.7055999999999992,98,0.98,-0.515,-0.833
0.7127999999999992,99,0.949,-0.494,-0.811
0.7199999999999992,100,0.918,-0.472,-0.787
0.7271999999999992,101,0.884,-0.449,-0.761
0.7343999999999992,102,0.849,-0.427,-0.734
0.7415999999999991,103,0.812,-0.404,-0.705
0.7487999999999991,104,0.773,-0.381,-0.673
0.7559999999999991,105,0.732,-0.357,-0.639
0.7631999999999991,106,0.689,-0.333,-0.603
0.7703999999999991,107,0.644,-0.308,-0.565
0.7775999999999991,108,0.596,-0.283,-0.525
0.784799999999999,109,0.547,-0.257,-0.482
0.791999999999999,110,0.494,-0.231,-0.437
0.799199999999999,111,0.439,-0.204,-0.389
0.806399999999999,112,0.382,-0.177,-0.339
0.813599999999999,113,0.322,-0.148,-0.286
0.820799999999999,114,0.259,-0.118,-0.23
0.827999999999999,115,0.192,-0.088,-0.171
0.8351999999999989,116,0.123,-0.056,-0.11
0.8423999999999989,117,0.051,-0.023,-0.045
0.8495999999999989,118,0.025,0.011,0.022
0.8567999999999989,119,0.103,0.047,0.092
0.8639999999999989,120,0.186,0.085,0.165
0.8711999999999989,121,0.271,0.124,0.241
0.8783999999999988,122,0.36,0.165,0.319
0.8855999999999988,123,0.451,0.209,0.4
0.8927999999999988,124,0.546,0.254,0.483
0.8999999999999988,125,0.643,0.302,0.568
0.9071999999999988,126,0.744,0.352,0.655
0.9143999999999988,127,0.847,0.406,0.744
0.9215999999999988,128,0.954,0.462,0.834
0.9287999999999987,129,1.061,0.521,0.925
0.9359999999999987,130,1.171,0.583,1.015
0.9431999999999987,131,1.283,0.649,1.106
0.9503999999999987,132,1.395,0.718,1.196
0.9575999999999987,133,1.508,0.789,1.285
0.9647999999999987,134,1.62,0.864,1.37
0.9719999999999986,135,1.733,0.942,1.454
0.9791999999999986,136,1.843,1.022,1.534
0.9863999999999986,137,1.953,1.106,1.61
0.9935999999999986,138,2.06,1.191,1.681
1.0007999999999986,139,2.164,1.279,1.746
1.0079999999999987,140,2.265,1.368,1.805
1.0151999999999988,141,2.362,1.459,1.858
1.0223999999999989,142,2.454,1.55,1.903
1.029599999999999,143,2.541,1.64,1.941
1.036799999999999,144,2.622,1.73,1.97
1.0439999999999992,145,2.698,1.82,1.993
1.0511999999999992,146,2.768,1.907,2.006
1.0583999999999993,147,2.83,1.992,2.01
1.0655999999999994,148,2.886,2.074,2.007
1.0727999999999995,149,2.935,2.152,1.996
1.0799999999999996,150,2.977,2.226,1.977
1.0871999999999997,151,3.012,2.296,1.949
1.0943999999999998,152,3.041,2.361,1.916
1.1016,153,3.064,2.422,1.877
1.1088,154,3.079,2.475,1.831
1.116,155,3.088,2.524,1.78
1.1232000000000002,156,3.091,2.566,1.724
1.1304000000000003,157,3.09,2.603,1.664
1.1376000000000004,158,3.082,2.634,1.601
1.1448000000000005,159,3.07,2.658,1.535
1.1520000000000006,160,3.053,2.677,1.467
1.1592000000000007,161,3.032,2.691,1.397
1.1664000000000008,162,3.007,2.699,1.325
1.1736000000000009,163,2.978,2.701,1.254
1.180800000000001,164,2.946,2.698,1.182
1.188000000000001,165,2.911,2.691,1.111
1.1952000000000012,166,2.875,2.68,1.04
1.2024000000000012,167,2.835,2.663,0.97
1.2096000000000013,168,2.793,2.643,0.901
1.2168000000000014,169,2.75,2.62,0.834
1.2240000000000015,170,2.705,2.593,0.769
1.2312000000000016,171,2.659,2.564,0.706
1.2384000000000017,172,2.612,2.532,0.644
1.2456000000000018,173,2.565,2.497,0.585
1.252800000000002,174,2.517,2.461,0.529
1.260000000000002,175,2.468,2.422,0.474
1.267200000000002,176,2.419,2.382,0.422
1.2744000000000022,177,2.37,2.341,0.373
1.2816000000000023,178,2.321,2.298,0.326
1.2888000000000024,179,2.272,2.255,0.281
1.2960000000000025,180,2.223,2.211,0.238
1.3032000000000026,181,2.175,2.166,0.198
1.3104000000000027,182,2.127,2.121,0.16
1.3176000000000028,183,2.079,2.076,0.124
1.3248000000000029,184,2.032,2.03,0.091
1.332000000000003,185,1.986,1.985,0.059
1.339200000000003,186,1.94,1.94,0.03
1.3464000000000031,187,1.895,1.895,0.003
1.3536000000000032,188,1.85,1.85,-0.023
1.3608000000000033,189,1.807,1.806,-0.046
1.3680000000000034,190,1.763,1.762,-0.068
1.3752000000000035,191,1.721,1.719,-0.089
1.3824000000000036,192,1.679,1.676,-0.108
1.3896000000000037,193,1.639,1.634,-0.125
1.3968000000000038,194,1.598,1.592,-0.141
1.404000000000004,195,1.559,1.551,-0.155
1.411200000000004,196,1.52,1.511,-0.168
1.418400000000004,197,1.482,1.471,-0.181
1.4256000000000042,198,1.445,1.433,-0.191
1.4328000000000043,199,1.409,1.394,-0.201
1.4400000000000044,200,1.373,1.357,-0.21
1.4472000000000045,201,1.338,1.32,-0.218
1.4544000000000046,202,1.304,1.285,-0.225
1.4616000000000047,203,1.271,1.25,-0.231
1.4688000000000048,204,1.238,1.215,-0.236
1.4760000000000049,205,1.206,1.182,-0.241
1.483200000000005,206,1.174,1.149,-0.244
1.490400000000005,207,1.143,1.116,-0.247
1.4976000000000051,208,1.113,1.085,-0.25
1.5048000000000052,209,1.084,1.054,-0.252
1.5120000000000053,210,1.055,1.024,-0.253
1.5192000000000054,211,1.026,0.994,-0.254
1.5264000000000055,212,0.998,0.966,-0.254
1.5336000000000056,213,0.971,0.937,-0.254
1.5408000000000057,214,0.944,0.91,-0.253
1.5480000000000058,215,0.918,0.883,-0.253
1.555200000000006,216,0.893,0.857,-0.251
1.562400000000006,217,0.867,0.831,-0.249
1.569600000000006,218,0.843,0.806,-0.247
1.5768000000000062,219,0.818,0.781,-0.245
1.5840000000000063,220,0.795,0.757,-0.242
1.5912000000000064,221,0.771,0.733,-0.24
1.5984000000000065,222,0.748,0.71,-0.236
1.6056000000000066,223,0.726,0.687,-0.233
1.6128000000000067,224,0.704,0.665,-0.229
1.6200000000000068,225,0.682,0.643,-0.225
1.6272000000000069,226,0.66,0.622,-0.221
1.634400000000007,227,0.639,0.601,-0.217
1.641600000000007,228,0.619,0.581,-0.213
1.6488000000000071,229,0.598,0.561,-0.208
1.6560000000000072,230,0.578,0.541,-0.204
1.6632000000000073,231,0.558,0.522,-0.199
1.6704000000000074,232,0.539,0.502,-0.194
1.6776000000000075,233,0.519,0.484,-0.189
1.6848000000000076,234,0.5,0.465,-0.184
1.6920000000000077,235,0.482,0.447,-0.178
1.6992000000000078,236,0.463,0.43,-0.173
1.706400000000008,237,0.445,0.412,-0.168
1.713600000000008,238,0.427,0.395,-0.162
1.720800000000008,239,0.409,0.378,-0.157
1.7280000000000082,240,0.392,0.362,-0.151
1.7352000000000083,241,0.375,0.345,-0.145
1.7424000000000084,242,0.357,0.329,-0.14
1.7496000000000085,243,0.34,0.313,-0.134
1.7568000000000086,244,0.324,0.297,-0.128
1.7640000000000087,245,0.307,0.282,-0.122
1.7712000000000088,246,0.291,0.266,-0.116
1.7784000000000089,247,0.274,0.251,-0.11
1.785600000000009,248,0.258,0.236,-0.104
1.792800000000009,249,0.242,0.221,-0.098
1.8000000000000091,250,0.226,0.207,-0.092
1.8072000000000092,251,0.211,0.192,-0.086
1.8144000000000093,252,0.195,0.178,-0.08
1.8216000000000094,253,0.179,0.164,-0.074
