Time (seconds),Time (steps),Velocity (m/s), X-comp,Y-comp
0,0,3.162,-3.16,-0.114
0.0072,1,3.184,-3.183,-0.104
0.0144,2,3.207,-3.204,-0.133
0.0216,3,3.229,-3.224,-0.167
0.0288,4,3.25,-3.244,-0.205
0.036,5,3.271,-3.262,-0.253
0.043199999999999995,6,3.292,-3.282,-0.26
0.05039999999999999,7,3.313,-3.299,-0.306
0.05759999999999999,8,3.332,-3.317,-0.323
0.0648,9,3.352,-3.331,-0.374
0.072,10,3.37,-3.348,-0.392
0.07919999999999999,11,3.39,-3.36,-0.447
0.08639999999999999,12,3.407,-3.376,-0.464
0.09359999999999999,13,3.425,-3.384,-0.528
0.10079999999999999,14,3.442,-3.4,-0.536
0.10799999999999998,15,3.459,-3.408,-0.593
0.11519999999999998,16,3.476,-3.417,-0.639
0.12239999999999998,17,3.492,-3.431,-0.649
0.1296,18,3.507,-3.437,-0.698
0.1368,19,3.523,-3.441,-0.752
0.14400000000000002,20,3.537,-3.448,-0.791
0.15120000000000003,21,3.552,-3.453,-0.83
0.15840000000000004,22,3.566,-3.458,-0.868
0.16560000000000005,23,3.579,-3.465,-0.897
0.17280000000000006,24,3.592,-3.47,-0.926
0.18000000000000008,25,3.604,-3.467,-0.986
0.1872000000000001,26,3.616,-3.476,-0.996
0.1944000000000001,27,3.627,-3.473,-1.049
0.2016000000000001,28,3.638,-3.472,-1.089
0.20880000000000012,29,3.649,-3.467,-1.14
0.21600000000000014,30,3.659,-3.462,-1.185
0.22320000000000015,31,3.669,-3.467,-1.2
0.23040000000000016,32,3.678,-3.454,-1.265
0.23760000000000017,33,3.687,-3.456,-1.286
0.24480000000000018,34,3.695,-3.442,-1.345
0.25200000000000017,35,3.703,-3.444,-1.36
0.25920000000000015,36,3.71,-3.432,-1.41
0.26640000000000014,37,3.717,-3.428,-1.438
0.2736000000000001,38,3.724,-3.42,-1.473
0.2808000000000001,39,3.729,-3.408,-1.513
0.2880000000000001,40,3.734,-3.384,-1.58
0.2952000000000001,41,3.739,-3.385,-1.588
0.30240000000000006,42,3.743,-3.36,-1.649
0.30960000000000004,43,3.746,-3.355,-1.668
0.3168,44,3.75,-3.326,-1.733
0.324,45,3.753,-3.315,-1.76
0.3312,46,3.754,-3.304,-1.782
0.3384,47,3.756,-3.281,-1.827
0.34559999999999996,48,3.757,-3.263,-1.862
0.35279999999999995,49,3.757,-3.237,-1.906
0.35999999999999993,50,3.757,-3.211,-1.949
0.3671999999999999,51,3.755,-3.204,-1.959
0.3743999999999999,52,3.754,-3.175,-2.003
0.3815999999999999,53,3.752,-3.152,-2.035
0.38879999999999987,54,3.749,-3.129,-2.064
0.39599999999999985,55,3.745,-3.106,-2.093
0.40319999999999984,56,3.741,-3.078,-2.127
0.4103999999999998,57,3.736,-3.049,-2.159
0.4175999999999998,58,3.73,-3.026,-2.182
0.4247999999999998,59,3.724,-2.997,-2.211
0.4319999999999998,60,3.717,-2.961,-2.247
0.43919999999999976,61,3.709,-2.936,-2.266
0.44639999999999974,62,3.7,-2.901,-2.297
0.4535999999999997,63,3.691,-2.875,-2.314
0.4607999999999997,64,3.68,-2.845,-2.334
0.4679999999999997,65,3.669,-2.809,-2.36
0.4751999999999997,66,3.656,-2.764,-2.393
0.48239999999999966,67,3.643,-2.741,-2.4
0.48959999999999965,68,3.629,-2.699,-2.427
0.49679999999999963,69,3.614,-2.646,-2.462
0.5039999999999997,70,3.598,-2.614,-2.472
0.5111999999999997,71,3.581,-2.595,-2.468
0.5183999999999996,72,3.563,-2.531,-2.507
0.5255999999999996,73,3.543,-2.491,-2.519
0.5327999999999996,74,3.522,-2.464,-2.517
0.5399999999999996,75,3.5,-2.421,-2.528
0.5471999999999996,76,3.478,-2.369,-2.546
0.5543999999999996,77,3.453,-2.339,-2.539
0.5615999999999995,78,3.426,-2.297,-2.543
0.5687999999999995,79,3.399,-2.24,-2.557
0.5759999999999995,80,3.37,-2.207,-2.546
0.5831999999999995,81,3.339,-2.175,-2.533
0.5903999999999995,82,3.307,-2.112,-2.544
0.5975999999999995,83,3.273,-2.07,-2.535
0.6047999999999994,84,3.237,-2.03,-2.522
0.6119999999999994,85,3.2,-1.967,-2.523
0.6191999999999994,86,3.16,-1.943,-2.492
0.6263999999999994,87,3.118,-1.879,-2.488
0.6335999999999994,88,3.073,-1.848,-2.456
0.6407999999999994,89,3.027,-1.774,-2.453
0.6479999999999994,90,2.978,-1.74,-2.416
0.6551999999999993,91,2.928,-1.685,-2.394
0.6623999999999993,92,2.872,-1.641,-2.357
0.6695999999999993,93,2.816,-1.587,-2.326
0.6767999999999993,94,2.756,-1.535,-2.289
0.6839999999999993,95,2.693,-1.488,-2.245
0.6911999999999993,96,2.627,-1.425,-2.207
0.6983999999999992,97,2.557,-1.382,-2.152
0.7055999999999992,98,2.485,-1.307,-2.113
0.7127999999999992,99,2.408,-1.269,-2.046
0.7199999999999992,100,2.327,-1.213,-1.986
0.7271999999999992,101,2.242,-1.14,-1.931
0.7343999999999992,102,2.153,-1.083,-1.861
0.7415999999999991,103,2.06,-1.025,-1.787
0.7487999999999991,104,1.96,-0.965,-1.706
0.7559999999999991,105,1.857,-0.906,-1.622
0.7631999999999991,106,1.747,-0.844,-1.529
0.7703999999999991,107,1.633,-0.782,-1.434
0.7775999999999991,108,1.513,-0.725,-1.328
0.784799999999999,109,1.386,-0.661,-1.219
0.791999999999999,110,1.254,-0.586,-1.108
0.799199999999999,111,1.114,-0.525,-0.983
0.806399999999999,112,0.969,-0.454,-0.857
0.813599999999999,113,0.816,-0.381,-0.722
0.820799999999999,114,0.656,-0.303,-0.582
0.827999999999999,115,0.488,-0.223,-0.434
0.8351999999999989,116,0.313,-0.144,-0.278
0.8423999999999989,117,0.128,-0.059,-0.114
0.8495999999999989,118,0.063,0.029,0.056
0.8567999999999989,119,0.262,0.121,0.233
0.8639999999999989,120,0.471,0.218,0.417
0.8711999999999989,121,0.687,0.317,0.61
0.8783999999999988,122,0.912,0.425,0.807
0.8855999999999988,123,1.145,0.536,1.012
0.8927999999999988,124,1.385,0.656,1.22
0.8999999999999988,125,1.632,0.774,1.437
0.9071999999999988,126,1.887,0.903,1.657
0.9143999999999988,127,2.149,1.029,1.887
0.9215999999999988,128,2.418,1.172,2.116
0.9287999999999987,129,2.692,1.338,2.335
0.9359999999999987,130,2.97,1.495,2.567
0.9431999999999987,131,3.253,1.665,2.795
0.9503999999999987,132,3.537,1.836,3.023
0.9575999999999987,133,3.824,2.03,3.241
0.9647999999999987,134,4.109,2.203,3.468
0.9719999999999986,135,4.394,2.42,3.668
0.9791999999999986,136,4.675,2.625,3.868
0.9863999999999986,137,4.953,2.832,4.064
0.9935999999999986,138,5.224,3.058,4.235
1.0007999999999986,139,5.489,3.259,4.417
1.0079999999999987,140,5.744,3.491,4.561
1.0151999999999988,141,5.991,3.71,4.704
1.0223999999999989,142,6.225,3.93,4.827
1.029599999999999,143,6.445,4.184,4.903
1.036799999999999,144,6.651,4.388,4.997
1.0439999999999992,145,6.844,4.657,5.014
1.0511999999999992,146,7.02,4.837,5.087
1.0583999999999993,147,7.178,5.052,5.099
1.0655999999999994,148,7.319,5.292,5.057
1.0727999999999995,149,7.444,5.488,5.029
1.0799999999999996,150,7.551,5.692,4.961
1.0871999999999997,151,7.638,5.856,4.904
1.0943999999999998,152,7.712,5.997,4.85
1.1016,153,7.77,6.178,4.712
1.1088,154,7.809,6.306,4.606
1.116,155,7.832,6.411,4.499
1.1232000000000002,156,7.84,6.553,4.304
1.1304000000000003,157,7.836,6.632,4.173
1.1376000000000004,158,7.817,6.702,4.025
1.1448000000000005,159,7.785,6.755,3.871
1.1520000000000006,160,7.742,6.803,3.696
1.1592000000000007,161,7.69,6.84,3.513
1.1664000000000008,162,7.626,6.845,3.362
1.1736000000000009,163,7.552,6.857,3.164
1.180800000000001,164,7.471,6.866,2.944
1.188000000000001,165,7.384,6.845,2.769
1.1952000000000012,166,7.291,6.808,2.609
