Time (seconds),Time (steps),Velocity (m/s), X-comp,Y-comp
0,0,3.481,-3.192,-1.387
0.0072,1,3.505,-3.219,-1.385
0.0144,2,3.532,-3.231,-1.426
0.0216,3,3.559,-3.24,-1.472
0.0288,4,3.587,-3.247,-1.523
0.036,5,3.614,-3.249,-1.584
0.043199999999999995,6,3.638,-3.267,-1.6
0.05039999999999999,7,3.665,-3.268,-1.659
0.05759999999999999,8,3.688,-3.28,-1.685
0.0648,9,3.714,-3.277,-1.749
0.072,10,3.736,-3.287,-1.777
0.07919999999999999,11,3.763,-3.28,-1.844
0.08639999999999999,12,3.784,-3.29,-1.869
0.09359999999999999,13,3.809,-3.275,-1.947
0.10079999999999999,14,3.829,-3.288,-1.962
0.10799999999999998,15,3.853,-3.275,-2.03
0.11519999999999998,16,3.876,-3.266,-2.087
0.12239999999999998,17,3.894,-3.277,-2.104
0.1296,18,3.916,-3.265,-2.162
0.1368,19,3.938,-3.248,-2.227
0.14400000000000002,20,3.958,-3.239,-2.274
0.15120000000000003,21,3.977,-3.229,-2.321
0.15840000000000004,22,3.996,-3.219,-2.368
0.16560000000000005,23,4.014,-3.214,-2.404
0.17280000000000006,24,4.03,-3.208,-2.439
0.18000000000000008,25,4.05,-3.179,-2.508
0.1872000000000001,26,4.064,-3.186,-2.523
0.1944000000000001,27,4.081,-3.16,-2.583
0.2016000000000001,28,4.097,-3.142,-2.63
0.20880000000000012,29,4.114,-3.115,-2.687
0.21600000000000014,30,4.129,-3.091,-2.738
0.22320000000000015,31,4.141,-3.09,-2.757
0.23040000000000016,32,4.157,-3.047,-2.828
0.23760000000000017,33,4.169,-3.04,-2.853
0.24480000000000018,34,4.184,-3,-2.916
0.25200000000000017,35,4.193,-2.995,-2.935
0.25920000000000015,36,4.206,-2.96,-2.988
0.26640000000000014,37,4.217,-2.943,-3.02
0.2736000000000001,38,4.227,-2.918,-3.058
0.2808000000000001,39,4.236,-2.887,-3.1
0.2880000000000001,40,4.249,-2.83,-3.169
0.2952000000000001,41,4.254,-2.828,-3.178
0.30240000000000006,42,4.265,-2.773,-3.24
0.30960000000000004,43,4.27,-2.759,-3.26
0.3168,44,4.28,-2.696,-3.324
0.324,45,4.285,-2.671,-3.351
0.3312,46,4.289,-2.649,-3.373
0.3384,47,4.295,-2.602,-3.417
0.34559999999999996,48,4.299,-2.565,-3.45
0.35279999999999995,49,4.303,-2.516,-3.491
0.35999999999999993,50,4.307,-2.466,-3.531
0.3671999999999999,51,4.306,-2.453,-3.539
0.3743999999999999,52,4.308,-2.399,-3.578
0.3815999999999999,53,4.309,-2.358,-3.607
0.38879999999999987,54,4.308,-2.318,-3.631
0.39599999999999985,55,4.307,-2.279,-3.655
0.40319999999999984,56,4.306,-2.23,-3.683
0.4103999999999998,57,4.302,-2.181,-3.709
0.4175999999999998,58,4.298,-2.144,-3.725
0.4247999999999998,59,4.294,-2.097,-3.747
0.4319999999999998,60,4.289,-2.038,-3.774
0.43919999999999976,61,4.281,-2,-3.785
0.44639999999999974,62,4.274,-1.944,-3.807
0.4535999999999997,63,4.265,-1.906,-3.816
0.4607999999999997,64,4.255,-1.862,-3.826
0.4679999999999997,65,4.245,-1.808,-3.841
0.4751999999999997,66,4.234,-1.739,-3.86
0.48239999999999966,67,4.22,-1.709,-3.858
0.48959999999999965,68,4.206,-1.647,-3.871
0.49679999999999963,69,4.192,-1.568,-3.888
0.5039999999999997,70,4.175,-1.527,-3.886
0.5111999999999997,71,4.156,-1.508,-3.872
0.5183999999999996,72,4.138,-1.413,-3.89
0.5255999999999996,73,4.117,-1.361,-3.885
0.5327999999999996,74,4.094,-1.331,-3.871
0.5399999999999996,75,4.07,-1.277,-3.865
0.5471999999999996,76,4.046,-1.207,-3.862
0.5543999999999996,77,4.018,-1.177,-3.841
0.5615999999999995,78,3.989,-1.126,-3.826
0.5687999999999995,79,3.959,-1.054,-3.816
0.5759999999999995,80,3.925,-1.023,-3.79
0.5831999999999995,81,3.89,-0.994,-3.761
0.5903999999999995,82,3.855,-0.915,-3.745
0.5975999999999995,83,3.816,-0.872,-3.715
0.6047999999999994,84,3.775,-0.833,-3.682
0.6119999999999994,85,3.733,-0.76,-3.655
0.6191999999999994,86,3.686,-0.751,-3.609
0.6263999999999994,87,3.639,-0.679,-3.575
0.6335999999999994,88,3.587,-0.663,-3.526
0.6407999999999994,89,3.535,-0.58,-3.487
0.6479999999999994,90,3.477,-0.563,-3.431
0.6551999999999993,91,3.419,-0.512,-3.381
0.6623999999999993,92,3.355,-0.484,-3.32
0.6695999999999993,93,3.29,-0.439,-3.26
0.6767999999999993,94,3.22,-0.401,-3.195
0.6839999999999993,95,3.147,-0.373,-3.124
0.6911999999999993,96,3.07,-0.322,-3.053
0.6983999999999992,97,2.989,-0.306,-2.973
0.7055999999999992,98,2.905,-0.242,-2.895
0.7127999999999992,99,2.815,-0.239,-2.805
0.7199999999999992,100,2.72,-0.209,-2.712
0.7271999999999992,101,2.621,-0.158,-2.617
0.7343999999999992,102,2.518,-0.133,-2.514
0.7415999999999991,103,2.409,-0.111,-2.406
0.7487999999999991,104,2.292,-0.091,-2.291
0.7559999999999991,105,2.172,-0.072,-2.171
0.7631999999999991,106,2.043,-0.056,-2.042
0.7703999999999991,107,1.91,-0.042,-1.91
0.7775999999999991,108,1.769,-0.039,-1.769
0.784799999999999,109,1.621,-0.031,-1.621
0.791999999999999,110,1.466,-0.011,-1.466
0.799199999999999,111,1.303,-0.016,-1.303
0.806399999999999,112,1.133,-0.009,-1.133
0.813599999999999,113,0.955,-0.006,-0.955
0.820799999999999,114,0.768,0,-0.768
0.827999999999999,115,0.571,0.004,-0.571
0.8351999999999989,116,0.366,0,-0.366
0.8423999999999989,117,0.15,0,-0.15
0.8495999999999989,118,0.074,-0.001,0.074
0.8567999999999989,119,0.306,0,0.306
0.8639999999999989,120,0.55,0,0.55
0.8711999999999989,121,0.804,0,0.804
0.8783999999999988,122,1.066,0.006,1.066
0.8855999999999988,123,1.339,0.012,1.339
0.8927999999999988,124,1.619,0.024,1.619
0.8999999999999988,125,1.908,0.031,1.908
0.9071999999999988,126,2.206,0.048,2.206
0.9143999999999988,127,2.513,0.055,2.513
0.9215999999999988,128,2.828,0.083,2.827
0.9287999999999987,129,3.147,0.144,3.144
0.9359999999999987,130,3.473,0.186,3.468
0.9431999999999987,131,3.804,0.246,3.796
0.9503999999999987,132,4.136,0.307,4.124
0.9575999999999987,133,4.47,0.401,4.452
0.9647999999999987,134,4.803,0.465,4.78
0.9719999999999986,135,5.135,0.596,5.1
0.9791999999999986,136,5.462,0.714,5.415
0.9863999999999986,137,5.785,0.836,5.725
0.9935999999999986,138,6.1,0.995,6.019
1.0007999999999986,139,6.408,1.117,6.31
1.0079999999999987,140,6.703,1.3,6.576
1.0151999999999988,141,6.989,1.467,6.833
1.0223999999999989,142,7.258,1.646,7.069
1.029599999999999,143,7.51,1.892,7.268
1.036799999999999,144,7.746,2.071,7.464
1.0439999999999992,145,7.963,2.367,7.602
1.0511999999999992,146,8.164,2.529,7.762
1.0583999999999993,147,8.34,2.767,7.868
1.0655999999999994,148,8.495,3.061,7.924
1.0727999999999995,149,8.632,3.297,7.977
1.0799999999999996,150,8.744,3.562,7.986
1.0871999999999997,151,8.837,3.777,7.989
1.0943999999999998,152,8.915,3.963,7.985
1.1016,153,8.967,4.239,7.902
1.1088,154,9.001,4.436,7.832
1.116,155,9.017,4.608,7.751
