Time (seconds),Time (steps),Velocity (m/s), X-comp,Y-comp
0,0,5.963,-5.469,-2.378
0.0072,1,6.004,-5.515,-2.372
0.0144,2,6.051,-5.536,-2.443
0.0216,3,6.097,-5.56,-2.502
0.0288,4,6.144,-5.563,-2.609
0.036,5,6.192,-5.575,-2.695
0.043199999999999995,6,6.232,-5.597,-2.74
0.05039999999999999,7,6.278,-5.598,-2.842
0.05759999999999999,8,6.318,-5.632,-2.863
0.0648,9,6.364,-5.614,-2.997
0.072,10,6.401,-5.643,-3.021
0.07919999999999999,11,6.446,-5.619,-3.159
0.08639999999999999,12,6.482,-5.648,-3.181
0.09359999999999999,13,6.526,-5.61,-3.335
0.10079999999999999,14,6.56,-5.637,-3.354
0.10799999999999998,15,6.601,-5.611,-3.478
0.11519999999999998,16,6.64,-5.606,-3.559
0.12239999999999998,17,6.671,-5.618,-3.598
0.1296,18,6.708,-5.603,-3.689
0.1368,19,6.746,-5.577,-3.796
0.14400000000000002,20,6.78,-5.549,-3.896
0.15120000000000003,21,6.813,-5.544,-3.959
0.15840000000000004,22,6.846,-5.52,-4.05
0.16560000000000005,23,6.876,-5.524,-4.094
0.17280000000000006,24,6.904,-5.496,-4.179
0.18000000000000008,25,6.938,-5.447,-4.297
0.1872000000000001,26,6.962,-5.472,-4.305
0.1944000000000001,27,6.992,-5.428,-4.407
0.2016000000000001,28,7.019,-5.383,-4.505
0.20880000000000012,29,7.048,-5.356,-4.581
0.21600000000000014,30,7.074,-5.311,-4.672
0.22320000000000015,31,7.094,-5.294,-4.723
0.23040000000000016,32,7.123,-5.221,-4.845
0.23760000000000017,33,7.143,-5.214,-4.881
0.24480000000000018,34,7.167,-5.152,-4.983
0.25200000000000017,35,7.184,-5.131,-5.028
0.25920000000000015,36,7.206,-5.071,-5.12
0.26640000000000014,37,7.223,-5.063,-5.153
0.2736000000000001,38,7.241,-5.02,-5.219
0.2808000000000001,39,7.257,-4.947,-5.31
0.2880000000000001,40,7.279,-4.849,-5.429
0.2952000000000001,41,7.288,-4.861,-5.43
0.30240000000000006,42,7.306,-4.768,-5.536
0.30960000000000004,43,7.315,-4.748,-5.566
0.3168,44,7.332,-4.641,-5.677
0.324,45,7.342,-4.591,-5.729
0.3312,46,7.348,-4.55,-5.77
0.3384,47,7.357,-4.458,-5.853
0.34559999999999996,48,7.365,-4.395,-5.91
0.35279999999999995,49,7.372,-4.311,-5.98
0.35999999999999993,50,7.379,-4.245,-6.035
0.3671999999999999,51,7.378,-4.203,-6.064
0.3743999999999999,52,7.381,-4.111,-6.131
0.3815999999999999,53,7.382,-4.059,-6.166
0.38879999999999987,54,7.38,-3.971,-6.221
0.39599999999999985,55,7.379,-3.904,-6.262
0.40319999999999984,56,7.376,-3.836,-6.3
0.4103999999999998,57,7.371,-3.761,-6.339
0.4175999999999998,58,7.363,-3.672,-6.382
0.4247999999999998,59,7.356,-3.618,-6.405
0.4319999999999998,60,7.348,-3.508,-6.456
0.43919999999999976,61,7.334,-3.426,-6.485
0.44639999999999974,62,7.323,-3.33,-6.522
0.4535999999999997,63,7.308,-3.266,-6.537
0.4607999999999997,64,7.29,-3.199,-6.55
0.4679999999999997,65,7.272,-3.122,-6.568
0.4751999999999997,66,7.253,-3.002,-6.602
0.48239999999999966,67,7.229,-2.928,-6.61
0.48959999999999965,68,7.206,-2.822,-6.631
0.49679999999999963,69,7.182,-2.692,-6.658
0.5039999999999997,70,7.152,-2.64,-6.647
0.5111999999999997,71,7.119,-2.595,-6.629
0.5183999999999996,72,7.089,-2.444,-6.655
0.5255999999999996,73,7.053,-2.332,-6.656
0.5327999999999996,74,7.013,-2.3,-6.625
0.5399999999999996,75,6.973,-2.213,-6.612
0.5471999999999996,76,6.932,-2.067,-6.616
0.5543999999999996,77,6.883,-2.017,-6.581
0.5615999999999995,78,6.833,-1.956,-6.547
0.5687999999999995,79,6.782,-1.805,-6.537
0.5759999999999995,80,6.725,-1.765,-6.489
0.5831999999999995,81,6.664,-1.716,-6.44
0.5903999999999995,82,6.604,-1.567,-6.416
0.5975999999999995,83,6.538,-1.494,-6.365
0.6047999999999994,84,6.468,-1.445,-6.304
0.6119999999999994,85,6.395,-1.325,-6.257
0.6191999999999994,86,6.315,-1.291,-6.182
0.6263999999999994,87,6.234,-1.164,-6.125
0.6335999999999994,88,6.146,-1.136,-6.04
0.6407999999999994,89,6.055,-1.011,-5.97
0.6479999999999994,90,5.957,-0.984,-5.875
0.6551999999999993,91,5.858,-0.877,-5.792
0.6623999999999993,92,5.747,-0.829,-5.687
0.6695999999999993,93,5.636,-0.752,-5.585
0.6767999999999993,94,5.517,-0.7,-5.472
0.6839999999999993,95,5.391,-0.639,-5.353
0.6911999999999993,96,5.259,-0.57,-5.228
0.6983999999999992,97,5.12,-0.532,-5.092
0.7055999999999992,98,4.976,-0.421,-4.958
0.7127999999999992,99,4.822,-0.409,-4.805
0.7199999999999992,100,4.661,-0.371,-4.646
0.7271999999999992,101,4.491,-0.286,-4.482
0.7343999999999992,102,4.313,-0.228,-4.307
0.7415999999999991,103,4.126,-0.19,-4.122
0.7487999999999991,104,3.927,-0.155,-3.924
0.7559999999999991,105,3.721,-0.124,-3.719
0.7631999999999991,106,3.499,-0.109,-3.498
0.7703999999999991,107,3.272,-0.071,-3.272
0.7775999999999991,108,3.031,-0.067,-3.03
0.784799999999999,109,2.777,-0.06,-2.777
0.791999999999999,110,2.511,-0.028,-2.511
0.799199999999999,111,2.232,-0.028,-2.232
0.806399999999999,112,1.942,-0.023,-1.942
0.813599999999999,113,1.635,-0.012,-1.635
0.820799999999999,114,1.315,0,-1.315
0.827999999999999,115,0.978,0.005,-0.978
0.8351999999999989,116,0.627,0.001,-0.627
0.8423999999999989,117,0.257,0,-0.257
0.8495999999999989,118,0.126,-0.001,0.126
0.8567999999999989,119,0.525,-0.001,0.525
0.8639999999999989,120,0.943,0.001,0.943
0.8711999999999989,121,1.377,-0.001,1.377
0.8783999999999988,122,1.827,0.01,1.827
0.8855999999999988,123,2.294,0.02,2.294
0.8927999999999988,124,2.774,0.053,2.774
0.8999999999999988,125,3.269,0.053,3.269
0.9071999999999988,126,3.779,0.082,3.779
0.9143999999999988,127,4.306,0.095,4.305
0.9215999999999988,128,4.845,0.142,4.843
0.9287999999999987,129,5.392,0.246,5.386
0.9359999999999987,130,5.95,0.341,5.94
0.9431999999999987,131,6.516,0.422,6.503
0.9503999999999987,132,7.085,0.537,7.064
0.9575999999999987,133,7.658,0.687,7.627
0.9647999999999987,134,8.228,0.809,8.188
0.9719999999999986,135,8.797,1.048,8.734
0.9791999999999986,136,9.357,1.232,9.275
0.9863999999999986,137,9.912,1.432,9.808
0.9935999999999986,138,10.451,1.744,10.304
1.0007999999999986,139,10.979,1.914,10.811
1.0079999999999987,140,11.484,2.243,11.262
1.0151999999999988,141,11.973,2.543,11.699
1.0223999999999989,142,12.435,2.853,12.103
1.029599999999999,143,12.866,3.277,12.442
1.036799999999999,144,13.27,3.586,12.776
1.0439999999999992,145,13.641,4.08,13.017
1.0511999999999992,146,13.985,4.377,13.283
1.0583999999999993,147,14.289,4.74,13.48
1.0655999999999994,148,14.553,5.284,13.56
1.0727999999999995,149,14.787,5.648,13.666
1.0799999999999996,150,14.98,6.15,13.66
1.0871999999999997,151,15.139,6.471,13.686
1.0943999999999998,152,15.272,6.8,13.675
1.1016,153,15.362,7.261,13.538
1.1088,154,15.419,7.646,13.39
1.116,155,15.449,7.895,13.279
1.1232000000000002,156,15.433,8.369,12.967
1.1304000000000003,157,15.406,8.651,12.748
1.1376000000000004,158,15.349,8.854,12.538
1.1448000000000005,159,15.265,9.085,12.267
1.1520000000000006,160,15.157,9.322,11.952
1.1592000000000007,161,15.029,9.543,11.61
1.1664000000000008,162,14.885,9.704,11.287
1.1736000000000009,163,14.715,9.857,10.925
1.180800000000001,164,14.527,10.066,10.474
1.188000000000001,165,14.335,10.148,10.125
1.1952000000000012,166,14.134,10.203,9.781
1.2024000000000012,167,13.909,10.307,9.34
1.2096000000000013,168,13.686,10.307,9.003
1.2168000000000014,169,13.448,10.352,8.584
1.2240000000000015,170,13.213,10.329,8.24
1.2312000000000016,171,12.967,10.324,7.845
1.2384000000000017,172,12.716,10.299,7.459
1.2456000000000018,173,12.466,10.253,7.09
1.252800000000002,174,12.214,10.171,6.763
1.260000000000002,175,11.96,10.067,6.456
1.267200000000002,176,11.708,9.964,6.149
1.2744000000000022,177,11.449,9.903,5.744
1.2816000000000023,178,11.196,9.767,5.474
1.2888000000000024,179,10.952,9.594,5.281
1.2960000000000025,180,10.698,9.488,4.943
1.3032000000000026,181,10.449,9.356,4.653
