Quantity,Unit,MATLAB,PMKS,Source,AbsDifference
a_S1x,m/s^2,-0.803459963635663,-0.805,PMKS native CSV 2026-09-11: a_S1.csv,0.00154003636433697
a_S1y,m/s^2,-1.502767709763,-1.504,PMKS native CSV 2026-09-11: a_S1.csv,0.001232290237001
|a_S1|,m/s^2,1.7040712140846,1.706,PMKS native CSV 2026-09-11: a_S1.csv,0.00192878591540357
a_S2x,m/s^2,-1.3960518341671,-1.397,PMKS native CSV 2026-09-11: a_S2.csv,0.00094816583290358
a_S2y,m/s^2,-2.29726041971265,-2.298,PMKS native CSV 2026-09-11: a_S2.csv,0.000739580287345554
|a_S2|,m/s^2,2.68819012714125,2.689,PMKS native CSV 2026-09-11: a_S2.csv,0.000809872858752669
a_S3x,m/s^2,-1.52389362135378,-1.524,PMKS native CSV 2026-09-11: a_S3.csv,0.000106378646222316
a_S3y,m/s^2,-2.07777073063332,-2.077,PMKS native CSV 2026-09-11: a_S3.csv,0.000770730633317562
|a_S3|,m/s^2,2.57670001713029,2.576,PMKS native CSV 2026-09-11: a_S3.csv,0.000700017130290664
a_S4x,m/s^2,-2.36598488497632,-2.366,PMKS native CSV 2026-09-11: a_S4.csv,1.51150236824549e-05
a_S4y,m/s^2,-4.98795305383406,-4.988,PMKS native CSV 2026-09-11: a_S4.csv,4.69461659360348e-05
|a_S4|,m/s^2,5.52064852559815,5.521,PMKS native CSV 2026-09-11: a_S4.csv,0.000351474401854901
a_S5x,m/s^2,-1.44979042209025,-1.45,PMKS native CSV 2026-09-11: a_S5.csv,0.000209577909751069
a_S5y,m/s^2,-5.00243818403262,-5.003,PMKS native CSV 2026-09-11: a_S5.csv,0.000561815967384582
|a_S5|,m/s^2,5.20828955157566,5.209,PMKS native CSV 2026-09-11: a_S5.csv,0.000710448424342758
