Quantity,Unit,MATLAB
F_Ax,N,143.387335902923
F_Ay,N,132.34698419264
|F_A|,N,195.129834526206
F_Bx,N,-149.839119410918
F_By,N,-65.6399089020365
|F_B|,N,163.585938718787
F_Cx,N,-176.936485512101
F_Cy,N,80.1823663513409
|F_C|,N,194.256870609702
F_Dx,N,-130.445348271883
F_Dy,N,377.591249534805
|F_D|,N,399.488598849864
F_Ex,N,-97.5110956831428
F_Ey,N,-38.5338472450672
|F_E|,N,104.848801446813
F_Fx,N,-135.74541142436
F_Fy,N,39.3904314049743
|F_F|,N,141.345048760255
F_Gx,N,-222.268903814706
F_Gy,N,526.305720581908
|F_G|,N,571.31530446876
T_z,N m,-47.1749048698292
