Quantity,Unit,MATLAB,PMKS,Source,AbsDifference
a_Ax,m/s^2,0,0,PMKS native CSV 2026-09-11: a_A.csv,0
a_Ay,m/s^2,0,0,PMKS native CSV 2026-09-11: a_A.csv,0
|a_A|,m/s^2,0,0,PMKS native CSV 2026-09-11: a_A.csv,0
a_Bx,m/s^2,-1.58654906138911,-1.587,PMKS native CSV 2026-09-11: a_B.csv,0.000450938610892626
a_By,m/s^2,-2.96743435556111,-2.967,PMKS native CSV 2026-09-11: a_B.csv,0.000434355561108379
|a_B|,m/s^2,3.36493752969636,3.365,PMKS native CSV 2026-09-11: a_B.csv,6.24703036420371e-05
a_Cx,m/s^2,-1.20439803480751,-1.204,PMKS native CSV 2026-09-11: a_C.csv,0.000398034807514103
a_Cy,m/s^2,-1.62301763460675,-1.623,PMKS native CSV 2026-09-11: a_C.csv,1.76346067510824e-05
|a_C|,m/s^2,2.02107913464384,2.021,PMKS native CSV 2026-09-11: a_C.csv,7.91346438404616e-05
a_Dx,m/s^2,0,0,PMKS native CSV 2026-09-11: a_D.csv,0
a_Dy,m/s^2,0,0,PMKS native CSV 2026-09-11: a_D.csv,0
|a_D|,m/s^2,0,0,PMKS native CSV 2026-09-11: a_D.csv,0
a_Ex,m/s^2,-3.03148675558966,-3.031,PMKS native CSV 2026-09-11: a_E.csv,0.000486755589657051
a_Ey,m/s^2,-4.13331636985996,-4.133,PMKS native CSV 2026-09-11: a_E.csv,0.000316369859961085
|a_E|,m/s^2,5.12583809368457,5.126,PMKS native CSV 2026-09-11: a_E.csv,0.000161906315433669
a_Fx,m/s^2,-1.69523400942353,-1.695,PMKS native CSV 2026-09-11: a_F.csv,0.000234009423534243
a_Fy,m/s^2,-5.84933050349749,-5.849,PMKS native CSV 2026-09-11: a_F.csv,0.000330503497488976
|a_F|,m/s^2,6.0900316654228,6.09,PMKS native CSV 2026-09-11: a_F.csv,3.16654227985325e-05
a_Gx,m/s^2,0,0,PMKS native CSV 2026-09-11: a_G.csv,0
a_Gy,m/s^2,0,0,PMKS native CSV 2026-09-11: a_G.csv,0
|a_G|,m/s^2,0,0,PMKS native CSV 2026-09-11: a_G.csv,0
a_Hx,m/s^2,-2.90426737951961,-2.903,PMKS native CSV 2026-09-11: a_H.csv,0.00126737951961076
a_Hy,m/s^2,-10.0210470524441,-10.021,PMKS native CSV 2026-09-11: a_H.csv,4.7052444145379e-05
|a_H|,m/s^2,10.4334152145422,10.433,PMKS native CSV 2026-09-11: a_H.csv,0.000415214542226039
