Quantity,Unit,MATLAB,PMKS,Source,AbsDifference
v_Ax,m/s,0,0,PMKS native CSV 2026-09-11: v_A.csv,0
v_Ay,m/s,0,0,PMKS native CSV 2026-09-11: v_A.csv,0
|v_A|,m/s,0,0,PMKS native CSV 2026-09-11: v_A.csv,0
v_Bx,m/s,-1.22415454480158,-1.224,PMKS native CSV 2026-09-11: v_B.csv,0.000154544801578504
v_By,m/s,0.654498469497874,0.654,PMKS native CSV 2026-09-11: v_B.csv,0.000498469497873577
|v_B|,m/s,1.3881363751928,1.388,PMKS native CSV 2026-09-11: v_B.csv,0.000136375192804739
v_Cx,m/s,-1.24618218484946,-1.246,PMKS native CSV 2026-09-11: v_C.csv,0.000182184849463862
v_Cy,m/s,-0.0381484342300856,-0.038,PMKS native CSV 2026-09-11: v_C.csv,0.000148434230085592
|v_C|,m/s,1.24676595272344,1.247,PMKS native CSV 2026-09-11: v_C.csv,0.000234047276558735
v_Dx,m/s,0,0,PMKS native CSV 2026-09-11: v_D.csv,0
v_Dy,m/s,0,0,PMKS native CSV 2026-09-11: v_D.csv,0
|v_D|,m/s,0,0,PMKS native CSV 2026-09-11: v_D.csv,0
v_Ex,m/s,-3.15996196872543,-3.16,PMKS native CSV 2026-09-11: v_E.csv,3.80312745740241e-05
v_Ey,m/s,-0.114445302690257,-0.114,PMKS native CSV 2026-09-11: v_E.csv,0.000445302690256846
|v_E|,m/s,3.16203373971546,3.162,PMKS native CSV 2026-09-11: v_E.csv,3.37397154597241e-05
v_Fx,m/s,-3.19246401633599,-3.192,PMKS native CSV 2026-09-11: v_F.csv,0.000464016335985029
v_Fy,m/s,-1.38744216743716,-1.387,PMKS native CSV 2026-09-11: v_F.csv,0.000442167437158192
|v_F|,m/s,3.48092261671856,3.481,PMKS native CSV 2026-09-11: v_F.csv,7.73832814369158e-05
v_Gx,m/s,0,0,PMKS native CSV 2026-09-11: v_G.csv,0
v_Gy,m/s,0,0,PMKS native CSV 2026-09-11: v_G.csv,0
|v_G|,m/s,0,0,PMKS native CSV 2026-09-11: v_G.csv,0
v_Hx,m/s,-5.46931518090982,-5.469,PMKS native CSV 2026-09-11: v_H.csv,0.000315180909822743
v_Hy,m/s,-2.37695976216756,-2.378,PMKS native CSV 2026-09-11: v_H.csv,0.00104023783243923
|v_H|,m/s,5.96350117456971,5.963,PMKS native CSV 2026-09-11: v_H.csv,0.00050117456971055
