Quantity,Unit,MATLAB,PMKS,Source,AbsDifference
F_Ax,N,1053.23438172225,1053.065,PMKS native CSV 2026-09-11: static_F_A.csv,0.169381722246499
F_Ay,N,140.773402786602,140.768,PMKS native CSV 2026-09-11: static_F_A.csv,0.00540278660247395
|F_A|,N,1062.60049584685,1062.432,PMKS native CSV 2026-09-11: static_F_A.csv,0.168495846845417
F_Bx,N,-1053.23438172225,-1053.065,PMKS native CSV 2026-09-11: static_F_B.csv,0.169381722246499
F_By,N,-61.9991027866025,-62.02,PMKS native CSV 2026-09-11: static_F_B.csv,0.0208972133975323
|F_B|,N,1055.05760581505,1054.89,PMKS native CSV 2026-09-11: static_F_B.csv,0.167605815050592
F_Cx,N,-1053.23438172225,-1053.065,PMKS native CSV 2026-09-11: static_F_C.csv,0.169381722246499
F_Cy,N,128.412997213398,128.327,PMKS native CSV 2026-09-11: static_F_C.csv,0.0859972133975475
|F_C|,N,1061.0337226946,1060.856,PMKS native CSV 2026-09-11: static_F_C.csv,0.177722694604654
F_Dx,N,-647.911398915446,-647.774,PMKS native CSV 2026-09-11: static_F_D.csv,0.137398915445829
F_Dy,N,526.079289556412,525.881,PMKS native CSV 2026-09-11: static_F_D.csv,0.198289556412078
|F_D|,N,834.594871626198,834.363,PMKS native CSV 2026-09-11: static_F_D.csv,0.231871626197517
F_Ex,N,-405.322982806801,-405.291,PMKS native CSV 2026-09-11: static_F_E.csv,0.03198280680067
F_Ey,N,-69.2274923430146,-69.227,PMKS native CSV 2026-09-11: static_F_E.csv,0.000492343014599328
|F_E|,N,411.192371144583,411.161,PMKS native CSV 2026-09-11: static_F_E.csv,0.0313711445826357
F_Fx,N,-405.322982806801,-405.291,PMKS native CSV 2026-09-11: static_F_F.csv,0.03198280680067
F_Fy,N,89.3021076569854,89.248,PMKS native CSV 2026-09-11: static_F_F.csv,0.0541076569853942
|F_F|,N,415.044078169273,415.002,PMKS native CSV 2026-09-11: static_F_F.csv,0.0420781692732817
F_Gx,N,-405.322982806801,-405.291,PMKS native CSV 2026-09-11: static_F_G.csv,0.03198280680067
F_Gy,N,874.762907656985,874.509,PMKS native CSV 2026-09-11: static_F_G.csv,0.253907656985461
|F_G|,N,964.104177464192,963.861,PMKS native CSV 2026-09-11: static_F_G.csv,0.243177464191717
T_z,N m,-504.372529988217,-504.264,PMKS native CSV 2026-09-11: static_T.csv,0.10852998821747
