Series,Unit,Samples,MaxAbsDifference,PeakScaledPercent,Source
omega_AB_z,rad/s,361,6.84055476800616e-05,0.00282193140769088,PMKS native CSV 2026-09-11: omega_AB.csv
alpha_AB_z,rad/s^2,361,0,NaN,PMKS native CSV 2026-09-11: alpha_AB.csv
a_S1_x,m/s^2,361,0.00260629994253048,0.1529458844751,PMKS native CSV 2026-09-11: a_S1.csv
a_S1_y,m/s^2,361,0.00260629994252182,0.152945884474592,PMKS native CSV 2026-09-11: a_S1.csv
omega_BC_z,rad/s,361,0.00137665888762728,0.055730033441273,PMKS native CSV 2026-09-11: omega_BC.csv
alpha_BC_z,rad/s^2,361,0.0116524999742336,0.130925525473889,PMKS native CSV 2026-09-11: alpha_BC.csv
a_S2_x,m/s^2,361,0.00695779043897815,0.0888309158131817,PMKS native CSV 2026-09-11: a_S2.csv
a_S2_y,m/s^2,361,0.0053774654112817,0.0810173308029985,PMKS native CSV 2026-09-11: a_S2.csv
omega_DCE_z,rad/s,361,0.00120351016514997,0.0381644295190838,PMKS native CSV 2026-09-11: omega_DCE.csv
alpha_DCE_z,rad/s^2,361,0.014045549723237,0.0878459359269478,PMKS native CSV 2026-09-11: alpha_DCE.csv
a_S3_x,m/s^2,361,0.0845243879853861,0.526826871323504,PMKS native CSV 2026-09-11: a_S3.csv
a_S3_y,m/s^2,361,0.0948996938704982,0.587577919280319,PMKS native CSV 2026-09-11: a_S3.csv
omega_EF_z,rad/s,361,0.015730821565854,0.493351301142949,PMKS native CSV 2026-09-11: omega_EF.csv
alpha_EF_z,rad/s^2,361,0.0728446583052929,0.416885008217777,PMKS native CSV 2026-09-11: alpha_EF.csv
a_S4_x,m/s^2,361,0.59194235204178,1.88401496681965,PMKS native CSV 2026-09-11: a_S4.csv
a_S4_y,m/s^2,361,0.522021750626756,1.34587909577924,PMKS native CSV 2026-09-11: a_S4.csv
omega_GFH_z,rad/s,361,0.00451471186675478,0.129312013018829,PMKS native CSV 2026-09-11: omega_GFH.csv
alpha_GFH_z,rad/s^2,361,0.0339621692146563,0.189054667088786,PMKS native CSV 2026-09-11: alpha_GFH.csv
a_S5_x,m/s^2,361,0.624976217617997,2.19464474734697,PMKS native CSV 2026-09-11: a_S5.csv
a_S5_y,m/s^2,361,0.509079155192874,1.29889332249689,PMKS native CSV 2026-09-11: a_S5.csv
v_A_x,m/s,361,0,NaN,PMKS native CSV 2026-09-11: v_A.csv
v_A_y,m/s,361,0,NaN,PMKS native CSV 2026-09-11: v_A.csv
a_A_x,m/s^2,361,0,NaN,PMKS native CSV 2026-09-11: a_A.csv
a_A_y,m/s^2,361,0,NaN,PMKS native CSV 2026-09-11: a_A.csv
v_B_x,m/s,361,0.000703151515672906,0.0506544872490983,PMKS native CSV 2026-09-11: v_B.csv
v_B_y,m/s,361,0.000838623174346909,0.0604137599719187,PMKS native CSV 2026-09-11: v_B.csv
a_B_x,m/s^2,361,0.00141141850524001,0.0419449752401945,PMKS native CSV 2026-09-11: a_B.csv
a_B_y,m/s^2,361,0.00132173437331007,0.0392797142426421,PMKS native CSV 2026-09-11: a_B.csv
v_C_x,m/s,361,0.0012895247154221,0.0477400050437075,PMKS native CSV 2026-09-11: v_C.csv
v_C_y,m/s,361,0.0012394771703701,0.0616534443449382,PMKS native CSV 2026-09-11: v_C.csv
a_C_x,m/s^2,361,0.00904095761881152,0.071657152802176,PMKS native CSV 2026-09-11: a_C.csv
a_C_y,m/s^2,361,0.016980494378187,0.134564137951459,PMKS native CSV 2026-09-11: a_C.csv
v_D_x,m/s,361,0,NaN,PMKS native CSV 2026-09-11: v_D.csv
v_D_y,m/s,361,0,NaN,PMKS native CSV 2026-09-11: v_D.csv
a_D_x,m/s^2,361,0,NaN,PMKS native CSV 2026-09-11: a_D.csv
a_D_y,m/s^2,361,0,NaN,PMKS native CSV 2026-09-11: a_D.csv
v_E_x,m/s,361,0.0750422444601346,1.09828322372558,PMKS native CSV 2026-09-11: v_E.csv
v_E_y,m/s,361,0.105835446610652,2.06430482509331,PMKS native CSV 2026-09-11: v_E.csv
a_E_x,m/s^2,361,0.446965183109388,1.40042080528378,PMKS native CSV 2026-09-11: a_E.csv
a_E_y,m/s^2,361,0.462860135117602,1.44061989911424,PMKS native CSV 2026-09-11: a_E.csv
v_F_x,m/s,361,0.130090851757452,2.17788160883127,PMKS native CSV 2026-09-11: v_F.csv
v_F_y,m/s,361,0.0973123751416454,1.20905875735519,PMKS native CSV 2026-09-11: v_F.csv
a_F_x,m/s^2,361,0.731936546083178,2.19811161286984,PMKS native CSV 2026-09-11: a_F.csv
a_F_y,m/s^2,361,0.596284592486325,1.30111992280398,PMKS native CSV 2026-09-11: a_F.csv
v_G_x,m/s,361,0,NaN,PMKS native CSV 2026-09-11: v_G.csv
v_G_y,m/s,361,0,NaN,PMKS native CSV 2026-09-11: v_G.csv
a_G_x,m/s^2,361,0,NaN,PMKS native CSV 2026-09-11: a_G.csv
a_G_y,m/s^2,361,0,NaN,PMKS native CSV 2026-09-11: a_G.csv
