Time,RPM,SoundLevel_dB,Status
NaN,NaN,NaN,Logging started by user manual toggle
40888,0,52,
41088,0,51.3,
41288,0,51.5,
41488,0,52.2,
41709,0,51.8,Motor Started
41909,0,64,Motor Started
42109,0,66.2,
42309,0,64.9,
42509,0,64.9,
42710,0,64.7,
42910,0,65.4,
43110,0,64.7,
43310,0,65.7,
43510,0,65.4,
43710,0,64.9,
43910,0,65.9,
44110,0,65.4,
44310,0,65.7,
44510,0,69.8,
44710,0,64.9,
44910,0,64.9,
45110,0,65.2,
45310,0,64.9,
45510,0,65.7,
45710,0,64.9,
45910,0,65.7,
46110,0,65.4,
46310,0,65.4,
46510,0,65.2,
46710,0,65.7,
46910,0,64.9,
47110,0,65.7,
47310,0,64.2,
47510,0,65.9,
47710,0,64.5,
48733,60,68.6,
49750,NaN,60.5,
50766,NaN,67.1,Engaged
64166,611,75.2,
64366,607,74.7,
64566,611,74.7,
64766,611,75,
64966,611,74.5,
65166,607,74.2,
65366,611,73.5,
65566,611,75.9,
65766,611,73.7,
65966,611,74.5,
66166,611,75.4,
66366,611,74.7,
66566,607,75.4,
66766,615,74.5,
66966,611,74.7,
67166,607,75.4,
67366,615,75.2,
67566,607,74.2,
67766,611,72.8,
67966,611,75.2,
68166,611,74,
68366,607,74.2,
68566,611,73.7,
68766,615,74,
68966,607,74.7,
69166,611,74.2,
69366,611,75,
69566,611,75,
69766,611,74,
69966,611,74.7,
70166,607,75.2,
70366,611,74,
70566,611,73.5,
70766,611,74.5,
70966,607,73,
71166,615,73.2,
71366,607,74.2,
71566,611,74.5,
71766,607,74.2,
71966,615,73.7,
72166,607,74,
72366,611,74.5,
72566,611,75,
72766,611,75,
72966,607,74.7,
73166,615,74.2,
73366,607,75.4,
73566,611,73.7,
73766,611,73.7,
74675,592,66.9,Motor Stopped
74875,596,64.9,Disengaged
75075,588,65.9,
75275,588,64.5,
75475,585,65.7,
75675,585,65.4,
75875,577,66.9,
76075,577,64.9,
76275,577,64,
76475,573,64,
76675,570,64,
76875,570,64.7,
77075,566,64.2,
77275,562,64.9,
77475,562,64.5,
77675,558,64.5,
77875,555,63.5,
78075,555,64.2,
78275,547,62,
78475,547,63.2,
78675,551,61.8,
78875,543,62.7,
79075,540,66.2,
79275,540,64.5,
79475,540,63.7,
79675,536,62.5,
79875,532,63.2,
80075,532,62.3,
80275,528,62.7,
