Time,RPM,SoundLevel_dB,Status
NaN,NaN,NaN,"Logging started by user manual toggle"
NaN,NaN,NaN,"time, rpm, Sound Level, Status"
24089,0,53.2,""
24288,0,51.3,"Target set to 1500 RPM"
24488,0,51.8,""
24688,0,55.4,""
24922,0,59.1,"Motor Started"
25123,0,67.6,"Motor Started"
25323,0,66.4,""
25523,0,65.9,""
25723,0,65.2,""
25923,0,64.2,""
26123,0,64.5,""
26323,0,64.7,""
26523,0,64.9,""
26723,0,64.5,""
26923,0,64.5,""
27123,0,64.9,""
27323,0,66.4,""
27523,0,66.2,""
27723,0,66.9,""
27923,0,64.7,""
28123,0,65.7,""
28323,0,64.9,""
28523,0,70.6,""
28723,0,65.7,""
28923,0,66.7,""
29123,0,66.9,""
29323,0,65.2,""
29523,0,64.5,""
29723,0,64.5,""
29923,0,65.9,""
30123,0,65.2,""
30323,0,64.5,""
30523,0,64.7,""
30723,0,65.7,""
30923,0,64.5,""
31123,0,68.6,""
31323,0,65.4,""
31523,0,68.8,""
31723,0,66.2,""
32747,71,70.6,""
33764,NaN,61.3,"Engaged"
34781,NaN,66.9,""
46150,611,74.5,""
46350,607,74,""
46550,611,74.2,""
46750,611,73.7,""
46950,611,74.5,""
47150,611,75.4,""
47350,611,75.2,""
47550,611,75,""
47750,607,74.2,""
47950,615,74.2,""
48150,611,74.5,""
48350,607,75.2,""
48550,615,74.7,""
48750,607,74,""
48950,611,75,""
49150,611,73.5,""
49350,611,75.2,""
49550,607,76.4,""
49750,611,75.4,""
49950,615,75,""
50150,607,74.5,""
50350,611,74,""
50550,611,74.5,""
50750,611,74.7,""
50950,607,75.9,""
51150,615,73.7,""
51350,607,74.2,""
51550,611,74.7,""
51750,611,74.2,""
51950,611,74.2,""
52150,607,74,""
52350,615,75,""
52550,611,73.7,""
52750,611,73,""
52950,607,74.2,""
53150,615,73.7,""
53774,NaN,66.4,"Motor Stopped"
53974,600,65.9,"Disengaged"
54174,603,65.9,""
54374,596,65.2,""
54574,588,69.6,""
54774,588,65.2,""
54974,577,65.7,""
55174,566,64.7,""
55374,566,64.5,""
55574,555,64.9,""
55774,543,62.7,""
55974,543,63.2,""
56174,532,63.7,""
56374,525,64.7,""
56574,521,63.2,""
56774,510,64.7,""
56974,502,64.5,""
57174,498,63.5,""
57374,491,62.3,""
57574,483,62.7,""
57774,476,62.7,""
57974,472,62,""
58174,461,62,""
58374,457,61.5,""
58574,450,60.8,""
58774,442,61,""
58974,431,60.5,""
59174,431,59.8,""
59374,420,60.1,""
59574,416,59.6,""
59774,412,58.8,""
59974,401,59.6,""
60174,397,60.3,""
60374,390,60.1,""
60574,386,59.8,""
60774,378,60.3,""
60974,371,59.8,""
61174,371,60.1,""
61374,360,59.3,""
61574,352,59.6,""
61774,352,59.3,""
61974,341,58.1,""
62174,337,58.3,""
62374,333,59.6,""
62574,322,58.6,""
62774,322,59.8,""
62974,311,58.3,""
63174,307,57.4,""
63374,303,58.1,""
63574,292,56.9,""
63774,292,57.4,""
63974,285,56.4,""
64174,281,57.9,""
64374,273,56.6,""
64574,270,57.4,""
64774,262,56.2,""
64974,255,57.1,""
65174,255,56.4,""
65374,243,55.7,""
65574,243,58.1,""
65774,236,57.9,""
65974,228,55.9,""
66174,225,55.9,""
66374,221,57.1,""
66574,213,56.6,""
66774,210,55.7,""
66974,202,55.2,""
67174,198,55.4,""
67374,191,54.4,""
67574,187,55.9,""
67774,180,54.9,""
67974,176,54.7,""
68174,172,55.2,""
68374,165,54.2,""
68574,161,54.4,""
68774,153,54,""
68974,150,53.7,""
69174,142,53.7,""
69374,138,53.7,""
69574,135,53,""
69774,127,55.9,""
69974,123,54,""
70174,120,53.5,""
70374,112,53.5,""
70574,108,53,""
70774,105,53.2,""
70974,97,52.5,""
71174,90,52.5,""
71374,90,53,""
71574,82,52,""
71774,78,53,""
71974,75,53.7,""
72174,67,52.2,""
72374,63,53.7,""
72574,63,51.3,""
72774,56,51.5,""
72974,48,51.8,""
73174,45,51.5,""
73374,41,52,""
73574,37,53,""
73774,37,52,""
73974,30,51.5,""
74174,26,51.3,""
74374,22,51,""
74574,15,51,""
74774,11,51.3,""
74974,7,51.3,""
75174,0,51.8,""
75374,0,51,""
75574,0,51.5,""
75774,0,51,""
75974,0,51.5,""
76174,0,51.5,""
76374,0,52.2,""
76574,0,53,""
76774,0,52,""
76974,0,60.5,""
77174,0,51.5,""
77374,0,52,""
77574,0,51,""
77774,0,51.3,""
77974,0,51,""
78174,0,52.7,""
78374,0,51.5,""
78574,0,52,""
78774,0,51.8,""
78974,0,51.8,""
79174,0,51.8,""
79374,0,52,""
79574,0,51.3,""
79774,0,51.8,""
79974,0,52.2,""
80174,0,52.5,""
NaN,NaN,NaN,"Logging stopped by user manual toggle"
