Time	Device name	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(°/s)	Angular velocity Y(°/s)	Angular velocity Z(°/s)	ShiftX(mm)	ShiftY(mm)	ShiftZ(mm)	SpeedX(mm/s)	SpeedY(mm/s)	SpeedZ(mm/s)	Angle X(°)	Angle Y(°)	Angle Z(°)	Magnetic field X(ʯt)	Magnetic field Y(ʯt)	Magnetic field Z(ʯt)	Temperature(℃)	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
 18:06:38.989	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:45.855	-0.827	0	-0.559	-0.427	0.183	-0.061							-1.494	67.126	132.814	99.600	21.300	41.853	24.62	-0.42944	-0.35376	-0.80927	0.18814	
 18:06:39.019	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:45.855	-0.828	-0.001	-0.559	-0.427	0.183	-0.061							-1.494	67.126	132.814	101.400	22.200	38.447	24.62	-0.42944	-0.35376	-0.80927	0.18814	
 18:06:39.034	f9:a2:89:42:44:2c	2015-01-01 02:11:42.060	0.747	-0.657	-0.042	0.061	0	0							0	0	-101.475	-43.100	20.000	0.440	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:39.049	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:45.855	-0.827	0	-0.559	-0.427	0.183	0							-1.494	67.126	132.814	101.400	22.200	38.447	24.62	-0.42944	-0.35376	-0.80927	0.18814	
 18:06:39.065	f9:a2:89:42:44:2c	2015-01-01 02:11:42.060	0.747	-0.657	-0.041	0.061	0	0.061							0	-0.005	-101.475	-43.100	20.000	0.440	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:39.126	f9:a2:89:42:44:2c	2015-01-01 02:11:42.060	0.747	-0.657	-0.04	0	0	0							0	-0.005	-101.475	-42.600	20.500	-3.567	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:39.139	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:46.245	-0.827	0	-0.56	-0.427	0.183	-0.061							-1.494	67.126	132.814	101.400	22.200	38.447	24.62	-0.42947	-0.35373	-0.8093	0.18811	
 18:06:39.154	f9:a2:89:42:44:2c	2015-01-01 02:11:42.060	0.746	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-42.600	20.500	-3.567	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:39.169	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:46.245	-0.827	0	-0.559	-0.427	0.183	-0.061							-1.494	67.126	132.814	101.400	22.200	38.447	24.62	-0.42947	-0.35373	-0.8093	0.18811	
 18:06:39.229	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:46.245	-0.827	0	-0.559	-0.427	0.183	-0.061							-1.494	67.126	132.814	101.400	22.200	38.447	24.62	-0.42947	-0.35373	-0.8093	0.18811	
 18:06:39.245	f9:a2:89:42:44:2c	2015-01-01 02:11:42.420	0.747	-0.657	-0.041	0.061	0	0							0	-0.005	-101.475	-42.600	20.500	-3.567	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:39.260	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:46.245	-0.827	0	-0.559	-0.427	0.183	-0.061							-1.494	67.126	132.814	101.400	22.200	38.447	24.62	-0.42947	-0.35373	-0.8093	0.18811	
 18:06:39.274	f9:a2:89:42:44:2c	2015-01-01 02:11:42.420	0.747	-0.657	-0.041	0.061	0	0							0	0	-101.475	-42.600	20.500	-3.567	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:39.304	f9:a2:89:42:44:2c	2015-01-01 02:11:42.420	0.747	-0.656	-0.041	0.061	0	0							0	0	-101.475	-42.600	20.500	-3.567	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:39.365	f9:a2:89:42:44:2c	2015-01-01 02:11:42.420	0.747	-0.656	-0.041	0.061	0	0							0	-0.005	-101.475	-42.600	20.500	-3.567	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:39.408	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:46.245	-0.827	0	-0.56	-0.427	0.183	0							-1.494	67.126	132.814	101.400	22.200	38.447	24.62	-0.42947	-0.35373	-0.8093	0.18811	
 18:06:39.410	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:46.245	-0.827	0	-0.56	-0.366	0.183	-0.061							-1.494	67.126	132.814	101.600	21.100	37.780	24.62	-0.42947	-0.35373	-0.8093	0.18811	
 18:06:39.410	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:46.245	-0.827	0	-0.56	-0.427	0.122	-0.061							-1.494	67.126	132.814	101.600	21.100	37.780	24.62	-0.42947	-0.35373	-0.8093	0.18811	
 18:06:39.454	f9:a2:89:42:44:2c	2015-01-01 02:11:42.420	0.747	-0.656	-0.041	0.061	0	0							0	-0.005	-101.475	-42.900	19.800	0.420	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:39.470	ff:bd:0d:cb:d7:a7	2015-01-01 02:11:46.245	-0.827	-0.001	-0.56	-0.427	0.183	-0.061							-1.494	67.126	132.814	101.600	21.100	37.780	24.62	-0.42947	-0.35373	-0.8093	0.18811	
 18:06:39.485	f9:a2:89:42:44:2c	2015-01-01 02:11:42.420	0.747	-0.657	-0.04	0.061	0	0							0	-0.005	-101.475	-42.900	19.800	0.420	24.35	0.16269	-0.63852	0.33591	-0.67297	
 18:06:39.515	f9:a2:89:42:44:2c	2015-01-01 02:11:42.420	0.747	-0.657	-0.041	0	0	0							0	-0.005	-101.475	-42.900	19.800	0.420	24.35	0.16269	-0.63852	0.33591	-0.67297	
