Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:47:50.009,f9:a2:89:42:44:2c, 2085-97-150 250:36:250:-040, -0.677, -0.732, -0.02, -0.427, -0.305, -0.061, 0, 0.005, -52.652, -8.900, 8.253, 36.400, 24.11, 0.69775, -0.4856, 0.52377, -0.0538,
 13:47:50.024,ff:bd:0d:cb:d7:a7, 2085-97-42 00:11:248:-050, 0.021, -0.995, -0.024, -0.427, 0.305, 0.549, 0.005, -0.011, 105.293, 55.800, -3.500, -57.800, 24.36, -0.42957, 0.42844, 0.5733, -0.55054,
 13:47:50.024,ff:bd:0d:cb:d7:a7, 2085-97-42 00:11:248:-049, 0.021, -0.995, -0.024, -0.427, 0.305, 0.549, 0.005, -0.011, 105.293, 55.800, -3.500, -57.800, 24.36, -0.42957, 0.42844, 0.5733, -0.55054,
 13:47:50.024,ff:bd:0d:cb:d7:a7, 2085-113-81 00:03:201:14038, 0.021, -0.995, -0.024, -0.366, 0.305, 0.61, 0.005, -0.011, 105.293, 55.800, -3.500, -57.800, 24.36, -0.42957, 0.42844, 0.5733, -0.55054,
 13:47:50.054,ff:bd:0d:cb:d7:a7, 2085-113-81 00:03:201:14038, 0.021, -0.995, -0.024, -0.366, 0.305, 0.61, 0.005, -0.011, 105.293, 55.800, -3.500, -57.800, 24.36, -0.4296, 0.42841, 0.5733, -0.55054,
 13:47:50.085,ff:bd:0d:cb:d7:a7, 2085-97-42 00:12:248:-050, 0.021, -0.994, -0.024, -0.366, 0.305, 0.61, 0.005, -0.011, 105.293, 55.800, -3.500, -57.800, 24.36, -0.4296, 0.42841, 0.5733, -0.55054,
 13:47:50.085,ff:bd:0d:cb:d7:a7, 2085-97-45 00:12:248:-048, 0.022, -0.994, -0.024, -0.366, 0.305, 0.61, 0.005, -0.011, 105.293, 55.800, -3.500, -57.800, 24.36, -0.4296, 0.42841, 0.5733, -0.55054,
 13:47:50.130,f9:a2:89:42:44:2c, 2085-97-148 250:36:250:-040, -0.677, -0.733, -0.02, -0.427, -0.244, 0, 0, 0.005, -52.652, -8.900, 8.253, 36.400, 24.11, 0.69775, -0.4856, 0.52377, -0.0538,
 13:47:50.159,f9:a2:89:42:44:2c, 2085-113-58 00:82:249:673, -0.678, -0.733, -0.02, -0.427, -0.183, -0.061, 0, 0.005, -52.652, -11.400, 4.487, 37.800, 24.11, 0.69775, -0.4856, 0.52377, -0.0538,
 13:47:50.173,ff:bd:0d:cb:d7:a7, 2085-97-45 00:12:248:-048, 0.021, -0.994, -0.023, -0.427, 0.305, 0.549, 0.005, -0.011, 105.293, 55.800, -3.500, -57.800, 24.36, -0.4296, 0.42841, 0.5733, -0.55054,
 13:47:50.205,ff:bd:0d:cb:d7:a7, 2085-97-42 00:11:248:-050, 0.021, -0.995, -0.024, -0.366, 0.244, 0.549, 0.005, -0.016, 105.293, 55.800, -3.500, -57.800, 24.36, -0.4296, 0.42841, 0.5733, -0.55054,
 13:47:50.205,ff:bd:0d:cb:d7:a7, 2085-97-42 00:12:248:-049, 0.021, -0.995, -0.024, -0.366, 0.244, 0.549, 0.005, -0.016, 105.293, 55.800, -3.500, -57.800, 24.36, -0.4296, 0.42841, 0.5733, -0.55054,
 13:47:50.234,ff:bd:0d:cb:d7:a7, 2085-97-42 00:12:248:-049, 0.02, -0.994, -0.024, -0.366, 0.305, 0.549, 0.005, -0.016, 105.293, 55.800, -3.500, -57.800, 24.36, -0.4296, 0.42841, 0.5733, -0.55054,
 13:47:50.234,ff:bd:0d:cb:d7:a7, 2085-113-58 00:103:32:-1293, 0.02, -0.995, -0.024, -0.427, 0.305, 0.549, 0.005, -0.016, 105.293, 55.800, -3.500, -57.800, 24.36, -0.4296, 0.42841, 0.5733, -0.55054,
 13:47:50.248,f9:a2:89:42:44:2c, 2085-97-148 250:36:250:-040, -0.678, -0.733, -0.02, -0.427, -0.244, -0.061, 0, 0, -52.652, -11.400, 4.487, 37.800, 24.11, 0.69775, -0.48557, 0.52377, -0.05377,
 13:47:50.294,ff:bd:0d:cb:d7:a7, 2085-113-58 00:103:32:-1293, 0.02, -0.995, -0.024, -0.427, 0.305, 0.549, 0.005, -0.016, 105.293, 55.300, -8.620, -59.600, 24.36, -0.4296, 0.42841, 0.5733, -0.55054,
 13:47:50.294,ff:bd:0d:cb:d7:a7, 2085-97-43 00:11:248:-050, 0.021, -0.995, -0.024, -0.427, 0.305, 0.549, 0.005, -0.016, 105.293, 55.300, -8.620, -59.600, 24.36, -0.4296, 0.42841, 0.5733, -0.55054,
 13:47:50.294,ff:bd:0d:cb:d7:a7, 2085-113-81 00:02:201:14038, 0.021, -0.995, -0.024, -0.366, 0.305, 0.61, 0.005, -0.016, 105.293, 55.300, -8.620, -59.600, 24.36, -0.4296, 0.42841, 0.5733, -0.55054,
 13:47:50.370,f9:a2:89:42:44:2c, 2085-97-150 250:36:250:-041, -0.678, -0.732, -0.02, -0.427, -0.244, -0.061, 0, 0.005, -52.652, -11.400, 4.487, 37.800, 24.11, 0.69775, -0.48557, 0.52377, -0.05377,
 13:47:50.384,ff:bd:0d:cb:d7:a7, 2085-113-81 00:02:201:14038, 0.021, -0.995, -0.024, -0.366, 0.305, 0.61, 0.005, -0.016, 105.293, 55.300, -8.620, -59.600, 24.36, -0.42963, 0.42841, 0.5733, -0.55054,
 13:47:50.413,ff:bd:0d:cb:d7:a7, 2085-97-43 00:11:248:-049, 0.021, -0.995, -0.024, -0.366, 0.244, 0.61, 0.005, -0.016, 105.293, 55.300, -8.620, -59.600, 24.36, -0.42963, 0.42841, 0.5733, -0.55054,
 13:47:50.413,ff:bd:0d:cb:d7:a7, 2085-97-42 00:12:248:-049, 0.021, -0.995, -0.024, -0.366, 0.244, 0.61, 0.005, -0.016, 105.293, 55.300, -8.620, -59.600, 24.36, -0.42963, 0.42841, 0.5733, -0.55054,
