Time,Hall,RPM,EncoderAngularVelocity,BNO1GyroX,BNO1GyroY,BNO1GyroZ,BNO1AngleX,BNO1AngleY,BNO1AngleZ,BNO2GyroX,BNO2GyroY,BNO2GyroZ,BNO2AngleX,BNO2AngleY,BNO2AngleZ,MPUGyroX,MPUGyroY,MPUGyroZ,MPUAngleX,MPUAngleY,MPUAngleZ
0,1,0,0,-0.125,0.125,-0.0625,1.6875,-2.125,-15.125,-0.0625,-0.125,-0.1875,0.8125,-2.0625,-39.125,0.079573392868042,0.0448250770568848,-0.23746582865715,1.21909666061401,-33.216381072998,-17.514181137085
22,1,0,0,0,0.0625,0,1.6875,-2.125,-15.125,0,0.0625,-0.125,0.8125,-2.0625,-39.125,0.0185046195983887,-0.000976443290710449,-0.222198665142059,1.21745824813843,-33.2243385314941,-17.5171451568604
62,1,0,0,0,0,0,1.6875,-2.125,-15.125,-0.125,-0.0625,-0.0625,0.8125,-2.0625,-39.125,0.0948405265808105,-0.107846736907959,-0.176397144794464,1.2214640378952,-33.224193572998,-17.5235843658447
84,1,0,0,0.0625,-0.0625,0,1.6875,-2.125,-15.125,-0.0625,0,-0.0625,0.8125,-2.0625,-39.125,0.0185046195983887,-0.000976443290710449,-0.130595624446869,1.22932529449463,-33.2261428833008,-17.525074005127
104,1,0,0,0.0625,0.1875,0.125,1.6875,-2.125,-15.125,0,0,0,0.8125,-2.0625,-39.125,-0.0272970199584961,-0.0773123502731323,0.0220761299133301,1.22224044799805,-33.240364074707,-17.5264167785645
127,1,0,0,0.125,0,-0.0625,1.6875,-2.125,-15.125,0.0625,-0.125,0.0625,0.8125,-2.0625,-39.125,0.110107660293579,0.151695251464844,-0.252733021974564,1.24815022945404,-33.224365234375,-17.5281524658203
148,1,0,0,0,0.0625,-0.1875,1.6875,-2.125,-15.125,0,0,-0.125,0.8125,-2.0625,-39.125,-0.0272970199584961,0.212763965129852,0.00680899620056152,1.21921873092651,-33.2250289916992,-17.5299549102783
171,1,0,0,-0.0625,0.0625,-0.0625,1.6875,-2.125,-15.125,0.0625,-0.0625,0,0.8125,-2.0625,-39.125,0.079573392868042,-0.0467779636383057,-0.100061237812042,1.22946083545685,-33.2395820617676,-17.5318832397461
193,1,0,0,-0.0625,0.0625,0,1.6875,-2.125,-15.125,0,-0.125,0.0625,0.8125,-2.0625,-39.125,0.079573392868042,-0.000976443290710449,0.0831448435783386,1.22140657901764,-33.2322692871094,-17.5328845977783
214,1,0,0,-0.0625,-0.0625,0.1875,1.6875,-2.125,-15.125,0,-0.0625,0.125,0.8125,-2.0625,-39.125,-0.286839008331299,-0.138381123542786,-0.0389925837516785,1.23193228244781,-33.2446975708008,-17.5342998504639
234,1,0,0,0,0.25,-0.25,1.6875,-2.125,-15.125,0,0.0625,0.125,0.8125,-2.0625,-39.125,-0.195235967636108,-0.0925794839859009,-0.0847941040992737,1.22682738304138,-33.238582611084,-17.5348262786865
257,1,0,0,0.0625,-0.0625,0,1.6875,-2.125,-15.125,-0.0625,-0.125,0,0.8125,-2.0625,-39.125,0.110107660293579,0.0600922107696533,0.0526105165481567,1.23799014091492,-33.2359199523926,-17.535852432251
278,1,0,0,-0.0625,-0.0625,-0.0625,1.6875,-2.125,-15.125,0,0.125,0.0625,0.8125,-2.0625,-39.125,-0.0730984210968018,-0.000976443290710449,-0.374870419502258,1.23358142375946,-33.2483520507812,-17.5379371643066
299,1,0,0,-0.125,0,0,1.6875,-2.125,-15.125,-0.0625,0.0625,-0.125,0.8125,-2.0625,-39.125,0.155909061431885,0.0295578241348267,-0.206931471824646,1.23785889148712,-33.2406272888184,-17.5405101776123
319,1,0,0,0,0.1875,0.0625,1.6875,-2.125,-15.125,0,0,0.0625,0.8125,-2.0625,-39.125,-0.134167194366455,0.121160864830017,-0.00845819711685181,1.23726391792297,-33.2493019104004,-17.5429286956787
341,1,0,0,0.0625,0,0,1.6875,-2.125,-15.125,-0.125,0,0.0625,0.8125,-2.0625,-39.125,0.00323748588562012,-0.0467779636383057,-0.344336062669754,1.2469230890274,-33.2406158447266,-17.5452442169189
361,1,0,0,0.0625,0.125,0.0625,1.6875,-2.125,-15.125,0,0.125,-0.0625,0.8125,-2.0625,-39.125,-0.103632926940918,-0.000976443290710449,-0.130595624446869,1.24600565433502,-33.2417488098145,-17.5468235015869
384,1,0,0,0,0.0625,0,1.6875,-2.125,-15.125,0,0.125,-0.0625,0.8125,-2.0625,-39.125,-0.118900060653687,0.0448250770568848,-0.268000185489655,1.23939454555511,-33.2603416442871,-17.5515670776367
404,1,0,0,0.0625,0.0625,0,1.6875,-2.125,-15.125,-0.0625,-0.0625,0,0.8125,-2.0625,-39.125,0.0337717533111572,0.243298292160034,-0.176397144794464,1.23275017738342,-33.2550048828125,-17.5528411865234
425,1,0,0,-0.125,0.3125,-0.1875,1.6875,-2.125,-15.125,-0.0625,-0.125,0,0.8125,-2.0625,-39.125,0.125374794006348,0.151695251464844,-0.0389925837516785,1.22470140457153,-33.2549819946289,-17.5538654327393
463,1,0,0,0,0,0,1.6875,-2.125,-15.125,0.0625,-0.0625,0.0625,0.8125,-2.0625,-39.125,-0.0120298862457275,0.0448250770568848,0.205282270908356,1.21994733810425,-33.2525405883789,-17.5515213012695
484,1,0,0,0,0,0.125,1.6875,-2.125,-15.125,0,-0.0625,-0.0625,0.8125,-2.0625,-39.125,0.125374794006348,0.0142906904220581,0.0678776502609253,1.23181259632111,-33.2408485412598,-17.5530395507812
504,1,0,0,0,0,0.0625,1.6875,-2.125,-15.125,0,0,0,0.8125,-2.0625,-39.125,-0.0120298862457275,0.0448250770568848,-0.191664308309555,1.22492814064026,-33.2423248291016,-17.5552673339844
525,1,0,0,0.0625,0,0.0625,1.6875,-2.125,-15.125,0.0625,0,0.0625,0.8125,-2.0625,-39.125,0.0337717533111572,0.136428117752075,0.00680899620056152,1.23448967933655,-33.2387008666992,-17.5542144775391
